Rank,Nat,SailNo,HelmName,ID W.S,Nett,Total,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,M
1st,SEY,201441,Rodney Govinden,SEYRG1,22,43,2,1,(11),(10),2,2,3,2,2,1,1,6
2nd,EGY,215121,Aly Badawy,EGYAB3,46,61,(9),2,(6),1,5,5,4,3,4,3,5,14
3rd,ANG,206230,Manuel Lelo,ANGML3,59,85,4,7,1,(13),4,1,8,8,(13),7,3,16
4th,SEY,201444,Allan Julie,SEYAJ1,61,89,3,10,10,(12),12,3,1,1,1,2,(16 UFD),18
5th,ALG,190611,Wassim Ziani,ALGWZ1,62,89,8,9,3,(16 DSQ),3,(11),10,4,8,6,7,4
6th,MRI,201904,Obryan Brasse,MRIOB1,65,86,7,5,5,5,(11),8,6,(10),7,8,4,10
7th,ANG,206321,Filipe Andre,ANGFA1,66,94,11,4,8,7,8,4,7,(12),6,(16 DSQ),9,2
8th,TUN,211113,Seifeddine Dhaouadi,TUNSD1,68,88,6,(11),7,4,7,7,(9),5,5,5,2,20
9th,ALG,214352,Islam Khoualed,ALGIK2,69,95,5,6,2,8,1,9,5,(14),(12),10,11,12
10th,ALG,214364,Kebaili- mohamed Kebaili,ALGKK1,81,111,1,3,9,2,10,13,13,9,(14),13,16 DNF,8
11th,MAR,216639,Adil Elamrati,MARAE3,106,138,13,14,(16 UFD),9,13,10,2,6,3,4,(16 UFD),32 DNC
12th,EGY,214171,Omar El- Zeiny,EGYOE3,113,135,10,8,4,(11),6,6,16 DNE,(11),10,11,10,32 DNC
13th,TUN,207169,Bouhamedd Alexandre,FRAAL72,119,148,12,12,(16 UFD),6,9,12,12,(13),9,9,6,32 DNC
14th,MRI,212017,Michel Hosseny,MRIMH1,123,151,(14),13,12,3,(14),14,11,7,11,12,8,32 DNC
15th,TAN,211111,Mwambao Helef,TANMH2,160,192,15,16 DNF,13,14,15,15,14,(16 RET),16 DNF,14,12,32 DNC
