,Rank Rang,SailNo # de voile,Helm Barreur,Nat,Unnamed: 4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Total,Net,Club
0,1st,214514,Luke Ruitenberg,,CAN,1.0,(16.0),7.0,9.0,8.0,3.0,3.0,1.0,5.0,3.0,1.0,(11.0),68.0,41.0,RNSYS
1,2nd,157851,Leo Boucher,,USA,3.0,6.0,5.0,2.0,(21.0),5.0,6.0,4.0,3.0,(10.0),6.0,7.0,78.0,47.0,SSA
2,3rd,210644,James Juhasz,,CAN,(14.0),2.0,1.0,8.0,4.0,2.0,(9.0),9.0,6.0,5.0,8.0,3.0,71.0,48.0,
3,4th,212612,Justin Norton,,CAN,5.0,(9.0),2.0,(18.0),9.0,4.0,2.0,2.0,9.0,2.0,9.0,4.0,75.0,48.0,BYC
4,5th,207144,Chase Carraway,,USA,4.0,4.0,3.0,1.0,1.0,(11.0),(11.0),7.0,2.0,7.0,10.0,10.0,71.0,49.0,CYC1853
5,6th,206719,Noah Collinson,,CAN,(8.0),1.0,6.0,4.0,6.0,7.0,4.0,5.0,7.0,(8.0),5.0,5.0,66.0,50.0,RCYC/CSDS
6,7th,213679,Hugh Macrae,,CAN,(19.0),8.0,4.0,14.0,5.0,1.0,1.0,3.0,4.0,(29.0 RET),4.0,8.0,100.0,52.0,KYC
7,8th,208410,Richard Gordon,,USA,9.0,(13.0),9.0,6.0,(16.0),8.0,5.0,6.0,1.0,9.0,3.0,6.0,91.0,62.0,USCGA
8,9th,215019,Liam Bruce,,CAN,2.0,(12.0),11.0,3.0,10.0,12.0,8.0,8.0,(17.0),6.0,2.0,1.0,92.0,63.0,OST/PCYC
9,10th,212861,Forrest Wachholz,,CAN,7.0,10.0,8.0,5.0,7.0,9.0,10.0,10.0,(11.0),4.0,7.0,(12.0),100.0,77.0,BARRIE YC
10,11th,199544,Gage Schoenherr,,USA,11.0,3.0,(14.0),12.0,3.0,10.0,7.0,11.0,8.0,(17.0),12.0,2.0,110.0,79.0,USCGA
11,12th,208550,Matti Muru,,CAN,6.0,5.0,10.0,13.0,2.0,6.0,12.0,12.0,(14.0),1.0,13.0,(14.0),108.0,80.0,
12,13th,206521,Ryan Anderson,,CAN,10.0,7.0,(15.0),10.0,(18.0),14.0,14.0,14.0,15.0,11.0,11.0,9.0,148.0,115.0,RNSYS
13,14th,209075,Gord Welsh,,CAN,13.0,19.0,19.0,16.0,(24.0),13.0,13.0,(29.0 RET),13.0,18.0,17.0,13.0,207.0,154.0,SLYC
14,15th,160107,Scott Gittens,,BAR,15.0,14.0,18.0,11.0,12.0,19.0,(22.0),(23.0),18.0,16.0,16.0,17.0,201.0,156.0,BARBADOS YACHT
15,16th,209616,Brendan Aulthouse,,CAN,16.0,17.0,13.0,(24.0),(29.0 DNC),21.0,16.0,15.0,21.0,13.0,14.0,15.0,214.0,161.0,
16,17th,210869,James Golden,,USA,(20.0),15.0,17.0,17.0,13.0,18.0,17.0,16.0,12.0,19.0,18.0,(22.0),204.0,162.0,ANNAPOLIS YC
17,18th,210716,Marc Andrew Robin,,CAN,17.0,11.0,(23.0),7.0,14.0,(23.0),18.0,20.0,22.0,21.0,20.0,19.0,215.0,169.0,RSYLYC
18,19th,206120,Jesse Jackson,,CAY,(23.0),29.0 DNE,(21.0),20.0,20.0,15.0,15.0,13.0,20.0,12.0,15.0,16.0,219.0,175.0,CISC
19,20th,184618,Charles Anderson,,USA,18.0,18.0,(22.0),15.0,15.0,20.0,19.0,21.0,10.0,20.0,(23.0),21.0,222.0,177.0,SSA/WRSC
20,21st,208069,Matthew Stranaghan,,CAN,21.0,22.0,12.0,(23.0),17.0,16.0,20.0,17.0,(24.0),14.0,19.0,20.0,225.0,178.0,WVYC
21,22nd,214633,Pierre-Olivier Gagnon,,CAN,(25.0),23.0,16.0,21.0,19.0,17.0,(24.0),18.0,16.0,15.0,22.0,23.0,239.0,190.0,PCYC / CNDM
22,23rd,209318,Quinn Collins,,USA,22.0,(24.0),20.0,22.0,11.0,(24.0),23.0,22.0,19.0,23.0,24.0,18.0,252.0,204.0,TRYC
23,24th,192938,Darius Mienville,,USA,24.0,21.0,(26.0),(25.0),23.0,22.0,21.0,19.0,23.0,22.0,21.0,24.0,271.0,220.0,LFS
24,25th,204092,Andrew Sorensen,,USA,12.0,20.0,24.0,19.0,22.0,(25.0),25.0,(29.0 DNC),25.0,24.0,25.0,25.0,275.0,221.0,CPYC
25,26th,134186,Timothy Byles-Ho,,CAN,27.0,26.0,(29.0 DNC),(29.0 RET),25.0,26.0,29.0 RET,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,336.0,278.0,
26,27th,21501,Marek Beylich,,CAN,26.0,25.0,25.0,(29.0 DNC),(29.0 DNC),29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,337.0,279.0,RSTLYC
27,28th,173996,Bill Mckenzie,,CAN,(29.0 DNC),(29.0 DNC),29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,29.0 DNC,348.0,290.0,PBSC
