,Nr,Sail Number,Name,Team,T,N,R1,R2,R3,R4,R5,R6
0,1,NOR 213953,Uffe TOMASGAARD,NOR,20,14,1,(6.0),1,4,5,3
2,2,BLR 215202,Maksim DZIAHEL,BLR,58,35,4,2,(23.0),2,12,15
4,3,POL 213500,Kacper STANISLAWSKI,POL,69,43,2,18,(26.0),5,8,10
6,4,POL 214219,Wojciech KLIMASZEWSKI,POL,68,46,10,13,19,(22.0),3,1
8,5,NED 202322,Marnix BOS,NED,71,47,13,8,4,12,10,(24.0)
10,6,GER 215184,Nico NAUJOCK,GER,78,50,5,5,8,(28.0),24,8
12,7,UKR 214347,Ivan ZHUKALIN,UKR,79,50,7,7,(29.0),14,13,9
14,8,GER 214890,Philip WALKENBACH,GER,72,51,20,16,2,7,6,(21.0)
16,9,POL 214222,Stanislaw KLIMASZEWSKI,POL,85,52,15,31,(33.0),1,1,4
18,10,SLO 207345,Matej VALIC,SLO,84,58,14,(26.0),7,15,4,18
20,11,GER 215216,Justin BARTH,GER,89,62,6,17,(27.0),17,2,20
22,12,DEN 211867,Kenneth Frederiksen FREDERIKSEN,DEN,97,65,3,(32.0),31,3,22,6
24,13,GER 214877,Fabian KOHOFF,GER,97,68,(29.0),23,5,10,11,19
26,14,UKR 212960,Valeriy KUDRYASHOV,UKR,99,70,23,(29.0),10,11,9,17
28,15,DEN 212562,Andreas KRABBE-CHRISTENSEN,DEN,107,72,12,(35.0),14,13,7,26
30,16,BLR 141171,Maksim BAHLAI,BLR,111,76,17,3,17,9,(35.0),30
32,17,NED 213045,Stijn PAARDEKOOPER,NED,105,77,(28.0),12,16,26,16,7
34,18,LTU 210163,Radvilas JANULIONIS,LTU,127,79,19,1,9,(48.0),27,23
36,19,POL 212506,Piotr OSTROWSKI,POL,108,85,21,15,18,(23.0),17,14
38,20,NED 212968,Thomas VAN OFWEGEN,NED,139,91,33,10,(48.0),6,31,11
40,21,SWE 214194,Ludde LINDQVIST,SWE,125,93,(32.0),22,6,24,19,22
42,22,SWE 215554,Tim NYLLINGE,SWE,143,95,18,21,30,(48.0),14,12
44,23,AUT 213351,Christoph MARSANO,AUT,140,96,(44.0),4,24,30,33,5
46,24,UKR 201802,Stanislav MULKO,UKR,134,97,8,(37.0),11,16,30,32
48,25,NED 212415,Maurice VAN BRAAM MORRIS,NED,146,98,9,20,12,19,38,(48.0)
50,26,GER 213654,Luca Constantin MAYER,GER,137,100,30,11,(37.0),29,28,2
52,27,GER 158163,Thomas BUTTNER,GER,140,101,11,25,3,34,(39.0),28
54,28,GER 210062,Gregory Lucas KEIZERS,GER,137,101,26,27,15,8,25,(36.0)
56,29,GER 212409,Christoph MOHRING,GER,146,108,34,(38.0),20,20,21,13
58,30,DEN 205717,Christian WINKLER,DEN,155,122,22,(33.0),21,25,23,31
60,31,TPE 206217,Hsiu Chuan CHIANG,TPE,167,127,39,19,22,32,15,(40.0)
62,32,NED 211326,Erik VOETS,NED,177,129,25,9,35,31,(48.0),29
64,33,GER 209942,Leonard STOCK,GER,173,131,(42.0),24,32,27,32,16
66,34,BLR 213703,Aliaksei LEVCHUK,BLR,180,138,40,14,25,(42.0),20,39
68,35,GER 213665,Fiete SCHMELZER,GER,186,143,24,30,(43.0),33,18,38
70,36,AUS 207357,Jeff LOOSEMORE,AUS,198,155,16,(43.0),39,41,34,25
72,37,DEN 211253,Jakob LEJBOLLE,DEN,197,156,37,28,13,38,40,(41.0)
74,38,GER 207519,Henrik VON SECK,GER,201,156,36,(45.0),38,21,26,35
76,39,BLR 211131,Dzmitry KUTSKO,BLR,200,159,(41.0),36,41,18,37,27
78,40,POL 214221,Mateusz SIEDLECKI,POL,212,172,35,39,(40.0),36,29,33
80,41,GER 213285,Jonas ROHWER,GER,219,179,38,(40.0),36,35,36,34
82,42,DEN 210987,Johan Schubert,DEN,235,187,31,41,28,39,(48.0),48
84,43,AUT 215876,Pirmin SABLATNIG,AUT,242,194,27,34,42,43,(48.0),48
86,44,GER 211228,Christian ROHRBACH,GER,245,197,(48.0),48,34,37,41,37
88,45,AUT 204684,Andreas CUNOW,AUT,266,218,43,42,45,40,(48.0),48
90,46,DEN 213995,Nicolai MIKKELSEN,DEN,264,218,45,44,(46.0),44,42,43
92,47,DEN 210240,Anders From LAURSEN,DEN,266,220,(46.0),46,44,45,43,42
