
,,,,"Sailed: 4, Discards: 1, To count: 3, Entries: 15, Scoring system: Appendix A",,,,,,,,,,,
Rank,Fleet,SailNo,Club,HelmName,,Nat,HelmID,HelmAge,HelmSex,R1,R2,R3,R4,Total,Nett
1st,Laser Standard,213095,,VADNAI Benjamin,,HUN,HUNBV1,,M,1,(2.0),1,1,5,3
2nd,Laser Standard,213119,,VADNAI Jonatan,,HUN,HUNJV4,,M,2,1,2,(16.0 RET),21,5
3rd,Laser Standard,211236,,HALOUZKA Jakub,,CZE,CZEJH9,,M,(5.0),4,4,2,15,10
4th,Laser Standard,215515,,BUNK LAURITSEN Georg Philip,,DEN,DENGB3,,M,3,6,3,(16.0 RET),28,12
5th,Laser Standard,212409,,MöHRING Christoph,,GER,GERCM46,U19,M,4,(5.0),5,3,17,12
6th,Laser Standard,213872,,KWAPINSKI Jan,AUT,AUTJK8,U19,M,9,3,(16.0 RET),5,33,17
7th,Laser Standard,209109,,KRAVANJA Nicolo,SLO,SLONK2,U21,M,6,(12.0),8,4,30,18
8th,Laser Standard,208452,,ZINK Leon,HUN,HUNLZ3,U19,M,7,14,6,(16.0 UFD),43,27
9th,Laser Standard,200721,,PETERI Gabor,HUN,HUNGP3,,M,(12.0),11,10,6,39,27
10th,Laser Standard,215495,,ANDEL Michal,CZE,SVKMA2,,M,11,9,7,(16.0 RET),43,27
11th,Laser Standard,211238,,MALINA Alex Zdenek,SVK,SVKAM3,U19,M,(14.0),8,13,7,42,28
12th,Laser Standard,218491,,MIKOV Alexander,SVK,SVKAM4,U19,M,10,7,11,(16.0 UFD),44,28
13th,Laser Standard,208705,,SMOLIC Marko,CRO,CROMS17,U21,M,8,(13.0),12,8,41,28
14th,Laser Standard,189269,,SZAKASITS Gyorgy,HUN,HUNGS11,,M,13,10,9,(16.0 UFD),48,32
15th,Laser Standard,179747,,KOVACS Zoltan,HUN,HUNKZ4,,M,(15.0),15,14,9,53,38
,,,,,Sailwave Scoring Software 2.28.1,,,,,,,,,
,,,,,www.sailwave.com,,,,,,,,,
