,,,,Yacht Club Olivos ,,,,,,,
,,,Grand Prix Internacional XXXIX Luis A. Cerrato ,,,,,,,,
,,,14-15 y 21-22 de Septiembre de 2019 ,,,,,,,,
,,,,CLASE LASER STANDARD ,,,,,,,
Pl ,Sail # ,Sailor ,Subg. ,From ,Total ,1,2,3,4,5,6
1,8,Juan Pablo Bisio ,,YCR ,11,3,(4) ,4,2,1,1
2,213381,Francisco Renna ,,CVB ,11,1,1,2,(5) ,3,4
3,211570,Agustin Vidal Incatasciato ,,YC Cordoba ,12,2,2,3,1,4,(5) 
4,213387,Francisco Guaragna ,,YCA ,14,4,3,1,4,(29\DSQ) ,2
5,211413,Julio Alsogaray ,,YCA ,21,(29\UFD) ,8,5,3,2,3
6,210803,Juan Videla ,,YCO ,29,7,5,(10) ,6,5,6
7,209399,Juan Pablo Cardozo ,,YCO ,31,5,7,6,(10) ,6,7
8,15,Pedro Paulo Pinto ,,CNSI-CVSI ,38,10,6,7,7,(11) ,8
9,211578,Andres Heredia ,,YCO ,42,6,9,(12) ,11,7,9
10,209924,Agustin Pascual ,,YCO ,44,8,(12) ,8,9,9,10
11,11,Alejo Acosta ,Master ,YCO ,47,9,(13) ,11,8,8,11
12,210799,Hernan Celli ,Master ,CRLP ,60,(13) ,11,13,13,10,13
13,202581,Lucas Fagnani ,,YCO ,63,11,(29\UFD) ,15,12,13,12
14,209480,Federico Cabello ,,YC Encarnación ,68,12,10,16,15,15,(29\DNC) 
15,213331,Tomas Fioriti ,,CNO ,71,16,(29\UFD) ,9,16,16,14
16,200627,Rodolfo Giudice ,,CRLP ,78,15,16,(18) ,18,14,15
17,205485,Enrique Wiedenmann ,,YCO ,103,17,14,14,(29\DNC) ,29\DNC ,29\DNC 
18,210060,Joaquin Ogorman ,,CNAs ,104,14,15,17,(29\DNC) ,29\DNC ,29\DNC 
19,201917,Fernando Rosado ,,YCO ,113,(29\DNC) ,29\DNC ,29\DNC ,14,12,29\DNC 
20,210180,Juan Carosella ,Master ,YCO ,121,(29\DNC) ,29\DNC ,29\DNC ,17,17,29\DNC 
21,99,Jerónimo Engelhard ,,CNSI ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,209401,Matias Kyburg ,,CNSI ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,216433,Ignacio Rodriguez ,,URU ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,1640,Patricio Gutierrez ,,CNQ ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,170287,Lino Dell Acqua ,,CNSI ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,164116,Rodrigo Acosta ,Master ,YCO ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,152001,Jose Alberto Asad ,Master ,YCO ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
21,173899,Federico Reser ,,CNQ-CNO ,145T ,(29\DNC) ,29\DNC ,29\DNC ,29\DNC ,29\DNC ,29\DNC 
"19-sep-19, 11:28:55 ",,,,,,,,,,,
St. Pete Scorer ,,,,,,,,,,,
