,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net,QR1_blue,QR1_yellow,QR2_blue,QR2_yellow,QR3_yellow,QR4_yellow,QR5_yellow,QR6_yellow,QR3_blue,QR4_blue,QR5_blue,QR6_blue,FR7_gold,FR_medal,FR7_silver,FR8_silver,,
0,HUN,HUN 213119,Jonatan Vadnai,4,(17),7,2,10,5,12,67,50,,4,,17,7,2,10,5,,,,,12,10,,,67,TRUE
1,CYP,CYP 212431,Pavlos Kontides,7,6,9,8,2,2,(10),60,50,7,,6,,,,2,2,9,8,,,10,16,,,60,TRUE
2,TTO,TTO 184116,Andrew Lewis,9,2,6,14,16,3,(33),87,54,,9,,2,6,14,16,3,,,,,33,4,,,87,TRUE
3,NOR,NOR 214941,Hermann Tomasgaard,1,16,11,11,2,4,(23),80,57,,1,,16,11,11,,,,,2,4,23,12,,,80,TRUE
4,IRL,IRL 210254,Finn Lynch,5,1,18,2,8,(57)DNC,21,118,61,5,,1,,,,,,18,2,8,57DNC,21,6,,,61,FALSE
5,PER,PER 206115,Stefano Peschiera,3,6,10,(27),9,2,16,91,64,,3,,6,10,27,,,,,9,2,16,18,,,91,TRUE
6,POL,POL 215007,Tadeusz Kubiak,5,11,(27),3,14,8,6,94,67,,5,,11,27,3,,,,,14,8,6,20,,,94,TRUE
7,ESP,ESP 215311,Joaquin Blanco,30,7,1,17,4,3,(45),115,70,30,,7,,,,,,1,17,4,3,45,8,,,115,TRUE
8,HUN,HUN 213095,Benjamin Vadnai,7,1,23,6,27,8,(30),104,74,,7,,1,23,6,27,8,,,,,30,2,,,104,TRUE
9,BEL,BEL 215347,Wannes Van Laer,(36),4,3,4,18,13,18,110,74,36,,4,,,,18,13,3,4,,,18,14,,,110,TRUE
10,SWE,SWE 215344,Jesper Stalheim,10,30,1,5,12,16,(31),105,74,,10,,30,1,5,12,16,,,,,31,,,,105,TRUE
11,SWE,SWE 216181,Wilhelm Kark,14,(37),15,12,10,18.1DPI,7,113.1,76.1,,14,,37,15,12,,,,,10,18.1DPI,7,,,,95,FALSE
12,ITA,ITA 214149,Giovanni Coccoluto,10,(57)DNF,7,1,46,4,9,134,77,10,,57DNF,,,,46,4,7,1,,,9,,,,77,FALSE
13,CRO,CRO 215838,Filip Jurisic,22,(57)UFD,16,5,4,6,26,136,79,22,,57UFD,,,,4,6,16,5,,,26,,,,79,FALSE
14,BRN,BRN 212489,Abdulla Janahi,11,8,15,9,6,30,(49),128,79,11,,8,,,,6,30,15,9,,,49,,,,128,TRUE
15,CRO,CRO 215835,Tonci Stipanovic,1,2,10,36,(43),29,4,125,82,1,,2,,,,43,29,10,36,,,4,,,,125,TRUE
16,RUS,RUS 213011,Sergey Komissarov,2,(57)DNC,20,7,15,9,29,139,82,,2,,57DNC,20,7,15,9,,,,,29,,,,82,FALSE
17,ARG,ARG 213387,Francisco Guaragna Rigonat,18,(22),11,19,3,22,11,106,84,18,,22,,,,3,22,11,19,,,11,,,,106,TRUE
18,NED,NED 171111,Niels Broekhuizen,9,15,(57)DNC,21,22,14,5,143,86,9,,15,,,,22,14,57DNC,21,,,5,,,,86,FALSE
19,CZE,CZE 215495,Viktor Teply,27,(57)UFD,19,13,11,19,1,147,90,27,,57UFD,,,,11,19,19,13,,,1,,,,90,FALSE
20,NED,NED 212650,Duko Bos,2,3,25,20,25,15,(37),127,90,2,,3,,,,,,25,20,25,15,37,,,,127,TRUE
21,GER,GER 211432,Nik Aaron Willim,19,5,20,10,26,13,(27),120,93,19,,5,,,,,,20,10,26,13,27,,,,120,TRUE
22,SLO,SLO 214148,Zan Luka Zelko,14,13,14,31,16,6,(34),128,94,14,,13,,,,,,14,31,16,6,34,,,,128,TRUE
23,NED,NED 212968,Yuri Hummel,27,28,(32),1,6,22,15,131,99,,27,,28,32,1,,,,,6,22,15,,,,131,TRUE
24,RUS,RUS 212777,Daniil Krutskikh,4,31,6,44,7,(57)DNC,8,157,100,4,,31,,,,,,6,44,7,57DNC,8,,,,100,FALSE
