Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,CZE,CZE 215495,Viktor Teply,1
2,IRL,IRL 210101,Ewan McMahon,2
3,AUS,AUS 215612,Luke Elliott,3
4,CRO,CRO 215835,Tonci Stipanovic,4
5,NED,NED 171111,Niels Broekhuizen,5
6,POL,POL 215007,Tadeusz Kubiak,6
7,SWE,SWE 216181,Wilhelm Kark,7
8,RUS,RUS 212777,Daniil Krutskikh,8
9,ITA,ITA 214149,Giovanni Coccoluto,9
10,CYP,CYP 212431,Pavlos Kontides,10
11,ARG,ARG 213387,Francisco Guaragna Rigonat,11
12,HUN,HUN 213119,Jonatan Vadnai,12
13,ITA,ITA 202261,Gianmarco Planchestainer,13
14,MEX,MEX 213173,Yanic Gentry,14
15,NED,NED 212968,Yuri Hummel,15
16,PER,PER 206115,Stefano Peschiera,16
17,MAS,MAS 214989,Khairulnizam Mohd Afendy,17
18,BEL,BEL 215347,Wannes Van Laer,18
19,ARG,ARG 211570,Agustin Vidal Incatasciato,19
20,ISR,ISR 214931,Maor Ben Hrosh,20
21,IRL,IRL 210254,Finn Lynch,21
22,ISR,ISR 211955,Sagie Glantz,22
23,NOR,NOR 214941,Hermann Tomasgaard,23
24,BEL,BEL 210470,William De Smet,24
25,CHN,CHN 211127,Zili Wang,25
26,CRO,CRO 215838,Filip Jurisic,26
27,GER,GER 211432,Nik Aaron Willim,27
28,TUR,TUR 207480,Alp Rona Rodopman,28
29,RUS,RUS 213011,Sergey Komissarov,29
30,HUN,HUN 213095,Benjamin Vadnai,30
31,SWE,SWE 215344,Jesper Stalheim,31
32,JPN,JPN 215099,Kenji Nanri,32
33,TTO,TTO 184116,Andrew Lewis,33
34,SLO,SLO 214148,Zan Luka Zelko,34
35,THA,THA 211027,Chusitt Punjamala,35
36,FIN,FIN 214111,Kaarle Tapper,36
37,NED,NED 212650,Duko Bos,37
38,CAN,CAN 211542,Robert Davis,38
39,GRE,GRE 212529,Dimitris Papadimitriou,39
40,ESP,ESP 213123,Jesus Rogel Sanchez,40
41,RUS,RUS 213593,Kirill Evfimyevskiy,41
42,GRE,GRE 212527,Adonis Bougiouris,42
43,ECU,ECU 188778,Matias Dyck,43
44,POL,POL 214117,Jakub Rodziewicz,44
45,ESP,ESP 215311,Joaquin Blanco,45
46,ITA,ITA 188983,Nicolo Villa,46
47,AUS,AUS 202706,Richard Maher,47
48,JPN,JPN 208000,Kazumasa Segawa,48
49,BRN,BRN 212489,Abdulla Janahi,49
50,EST,EST 203724,Karl-Martin Rammo,50
51,DEN,DEN 209257,Christian Guldberg Rost,51
52,GBR,GBR 212950,Joseph Mullan,52
53,FIN,FIN 211411,Aleksi Tapper,53
57,ESA,ESA 180192,Enrique Jose Arathoon Pacas,57DNF
57,MON,MON 199212,Jeremy Moutout,57DNC
57,ITA,ITA 215111,Marco Gallo,57DSQ
