Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ESP,ESP 196717,Pere Ponseti Mesquida,1
2,ISR,ISR 202121,Omer Golani,2
3,ESP,ESP 215314,Pep Cazador Ribera,3
4,MNE,MNE 215840,Milivoj Dukic,4
5,ITA,ITA 209114,Giovanni Sanfilippo,5
6,CAN,CAN 214514,Luke Ruitenberg,6
7,ESP,ESP 212175,Ramiro Foguet Rojas,7
8,SGP,SGP 215267,Ryan Lo,8
9,ITA,ITA 210415,Luca Lorenzoni,9
10,ESP,ESP 211710,Joel Rodriguez,10
11,SUI,SUI 215485,Nicolas Rolaz,11
12,GBR,GBR 214490,Daniel Whiteley,12
13,ITA,ITA 213174,Giacomo Musone,13
14,CZE,CZE 195103,Stepan Novotny,14
15,MEX,MEX 181615,Juan Ignacio Perez,15
16,CHI,CHI 211888,Clemente Seguel,16
17,CHN,CHN 211225,Yang Yang,17
18,HKG,HKG 171979,Hong Kong,18
19,ARG,ARG 199218,Juan Alberto Casalone,19
20,BUL,BUL 213486,Ivo Todorov,20
21,CAN,CAN 212612,Justin Norton,21
22,GBR,GBR 213719,Sam Whaley,22
23,SWE,SWE 211276,Emil Bengtson,23
24,ITA,ITA 213017,Rodolfo Silvestrini,24
25,TUR,TUR 191719,Berkay Abay,25
26,MNE,MNE 213370,Ilija Markovic,26
27,USA,USA 211822,Paul Didham,27
28,ITA,ITA 207626,AMOS DI BENEDETTO,28
29,ITA,ITA 213176,Matteo Guardigli,29
30,POR,POR 212213,Santiago Sampaio,30
31,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,31
32,ITA,ITA 213752,Ciro Basile,32
33,ESP,ESP 213498,Manuel barber Ponciano,33
34,CZE,CZE 211236,Jakub Halouzka,34
35,EST,EST 212229,Georg Haud,35
36,USA,USA 199796,Malcolm Lamphere,36
37,IRL,IRL 210978,Liam Glynn,37
38,USA,USA 180521,Marek Zaleski,38
39,JPN,JPN 211154,Yuichiro Kitamura,39
40,FIN,FIN 215436,Nooa Henrik Laukkanen,40
41,URU,URU 216133,Ignacio Rodriguez,41
42,GRE,GRE 210400,Marios Karadimas,42
43,ITA,ITA 215275,Andrea Ribolzi,43
44,EST,EST 212230,Martin Aruja,44
45,GBR,GBR 211726,Benjamin Flowerr,45
46,ESP,ESP 209164,Carlos Rosello,46
47,JPN,JPN 204996,Yoshihiro SUZUKI,47
48,ESP,ESP 213859,Mario Plomer Quiroga,48
49,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,49
50,USA,USA 209071,Henry Marshall,50
51,ITA,ITA 212295,Andrea Chiappe,51
52,GBR,GBR 211414,Cameron Tweedle,52
53,ITA,ITA 211062,Pietro De Frenza,53
54,SGP,SGP 199094,Mark Wong,54
56,CAN,CAN 214917,Hugh Macrae,56DNC
