Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,NOR,NOR 214941,Hermann Tomasgaard,1
2,RUS,RUS 213011,Sergey Komissarov,2
3,PER,PER 206115,Stefano Peschiera,3
4,HUN,HUN 213119,Jonatan Vadnai,4
5,POL,POL 215007,Tadeusz Kubiak,5
6,ISR,ISR 214931,Maor Ben Hrosh,6
7,HUN,HUN 213095,Benjamin Vadnai,7
8,FIN,FIN 211411,Aleksi Tapper,8
9,TTO,TTO 184116,Andrew Lewis,9
10,SWE,SWE 215344,Jesper Stalheim,10
11,JPN,JPN 208000,Kazumasa Segawa,11
12,MNE,MNE 215840,Milivoj Dukic,12
13,ITA,ITA 213752,Ciro Basile,13
14,SWE,SWE 216181,Wilhelm Kark,14
15,GBR,GBR 212950,Joseph Mullan,15
16,FIN,FIN 214111,Kaarle Tapper,16
17,CHN,CHN 211127,Zili Wang,17
18,JPN,JPN 215099,Kenji Nanri,18
19,ITA,ITA 188983,Nicolo Villa,19
20,ESA,ESA 180192,Enrique Jose Arathoon Pacas,20
21,ITA,ITA 213174,Giacomo Musone,21
23,URU,URU 216133,Ignacio Rodriguez,23STP
23,GBR,GBR 213719,Sam Whaley,23
24,ESP,ESP 196717,Pere Ponseti Mesquida,24
25,ESP,ESP 213123,Jesus Rogel Sanchez,25
26,RUS,RUS 213593,Kirill Evfimyevskiy,26
27,NED,NED 212968,Yuri Hummel,27
28,ESP,ESP 211710,Joel Rodriguez,28
29,MEX,MEX 213173,Yanic Gentry,29
30,JPN,JPN 204996,Yoshihiro SUZUKI,30
31,ITA,ITA 213176,Matteo Guardigli,31
32,USA,USA 199796,Malcolm Lamphere,32
33,MAS,MAS 214989,Khairulnizam Mohd Afendy,33
34,MON,MON 199212,Jeremy Moutout,34
35,ITA,ITA 215275,Andrea Ribolzi,35
36,MNE,MNE 213370,Ilija Markovic,36
37,JPN,JPN 211154,Yuichiro Kitamura,37
38,CHN,CHN 211225,Yang Yang,38
39,TUR,TUR 191719,Berkay Abay,39
40,USA,USA 209071,Henry Marshall,40
41,SWE,SWE 211276,Emil Bengtson,41
42,GBR,GBR 211414,Cameron Tweedle,42
43,ISR,ISR 202121,Omer Golani,43
44,EST,EST 212230,Martin Aruja,44
45,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,45
46,ARG,ARG 199218,Juan Alberto Casalone,46
47,CAN,CAN 212612,Justin Norton,47
48,AUS,AUS 202706,Richard Maher,48
49,ITA,ITA 212295,Andrea Chiappe,49
50,GRE,GRE 210400,Marios Karadimas,50
51,USA,USA 211822,Paul Didham,51
57,EST,EST 203724,Karl-Martin Rammo,57UFD
57,GRE,GRE 212529,Dimitris Papadimitriou,57UFD
57,ITA,ITA 215111,Marco Gallo,57DSQ
57,HKG,HKG 171979,Hong Kong,57DNC
