Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,IRL,IRL 210254,Finn Lynch,1
2,CRO,CRO 215835,Tonci Stipanovic,2
3,NED,NED 212650,Duko Bos,3
4,BEL,BEL 215347,Wannes Van Laer,4
5,GER,GER 211432,Nik Aaron Willim,5
6,CYP,CYP 212431,Pavlos Kontides,6
7,ESP,ESP 215311,Joaquin Blanco,7
8,BRN,BRN 212489,Abdulla Janahi,8
9,DEN,DEN 209257,Christian Guldberg Rost,9
10,POL,POL 214117,Jakub Rodziewicz,10
11,TUR,TUR 207480,Alp Rona Rodopman,11
12,GRE,GRE 212527,Adonis Bougiouris,12
13,SLO,SLO 214148,Zan Luka Zelko,13
14,IRL,IRL 210101,Ewan McMahon,14
15,NED,NED 171111,Niels Broekhuizen,15
16,SUI,SUI 215485,Nicolas Rolaz,16
17,GBR,GBR 214490,Daniel Whiteley,17
18,USA,USA 180521,Marek Zaleski,18
19,THA,THA 211027,Chusitt Punjamala,19
20,ECU,ECU 188778,Matias Dyck,20
21,ISR,ISR 211955,Sagie Glantz,21
22,ARG,ARG 213387,Francisco Guaragna Rigonat,22
23,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,23
24,IRL,IRL 210978,Liam Glynn,24
25,ITA,ITA 213017,Rodolfo Silvestrini,25
26,SGP,SGP 215267,Ryan Lo,26
27,CAN,CAN 211542,Robert Davis,27
28,CAN,CAN 214917,Hugh Macrae,28
29,AUS,AUS 215612,Luke Elliott,29
30,BEL,BEL 210470,William De Smet,30
31,RUS,RUS 212777,Daniil Krutskikh,31
32,ITA,ITA 202261,Gianmarco Planchestainer,32
33,CZE,CZE 211236,Jakub Halouzka,33
34,ITA,ITA 210415,Luca Lorenzoni,34
35,CHI,CHI 211888,Clemente Seguel,35
36,ESP,ESP 215314,Pep Cazador Ribera,36
37,EST,EST 212229,Georg Haud,37
38,CZE,CZE 195103,Stepan Novotny,38
39,ARG,ARG 211570,Agustin Vidal Incatasciato,39
40,MEX,MEX 181615,Juan Ignacio Perez,40
41,GBR,GBR 211726,Benjamin Flowerr,41
42,ESP,ESP 213859,Mario Plomer Quiroga,42
43,POR,POR 212213,Santiago Sampaio,43
44,CAN,CAN 214514,Luke Ruitenberg,44
45,ESP,ESP 209164,Carlos Rosello,45
46,ITA,ITA 209114,Giovanni Sanfilippo,46
47,ESP,ESP 213498,Manuel barber Ponciano,47
48,ITA,ITA 211062,Pietro De Frenza,48
49,ESP,ESP 212175,Ramiro Foguet Rojas,49
50,ITA,ITA 207626,AMOS DI BENEDETTO,50
51,SGP,SGP 199094,Mark Wong,51
52,BUL,BUL 213486,Ivo Todorov,52
57,FIN,FIN 215436,Nooa Henrik Laukkanen,57UFD
57,ITA,ITA 214149,Giovanni Coccoluto,57DNF
57,CRO,CRO 215838,Filip Jurisic,57UFD
57,CZE,CZE 215495,Viktor Teply,57UFD
