Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,USA,USA 209071,Henry Marshall,1
2,NOR,NOR 214941,Hermann Tomasgaard,2
3,AUS,AUS 202706,Richard Maher,3
4,ESP,ESP 215311,Joaquin Blanco,4
5,EST,EST 203724,Karl-Martin Rammo,5
6,NED,NED 212968,Yuri Hummel,6
7,RUS,RUS 212777,Daniil Krutskikh,7
8,IRL,IRL 210254,Finn Lynch,8
9,PER,PER 206115,Stefano Peschiera,9
10,SWE,SWE 216181,Wilhelm Kark,10
11,ARG,ARG 211570,Agustin Vidal Incatasciato,11
12,SGP,SGP 215267,Ryan Lo,12
13,ITA,ITA 213174,Giacomo Musone,13
14,POL,POL 215007,Tadeusz Kubiak,14
15,THA,THA 211027,Chusitt Punjamala,15
16,SLO,SLO 214148,Zan Luka Zelko,16
17,SWE,SWE 211276,Emil Bengtson,17
18,MEX,MEX 213173,Yanic Gentry,18
19,ESP,ESP 212175,Ramiro Foguet Rojas,19
20,CAN,CAN 211542,Robert Davis,20
21,GRE,GRE 212529,Dimitris Papadimitriou,21
22,USA,USA 211822,Paul Didham,22
23,DEN,DEN 209257,Christian Guldberg Rost,23
24,USA,USA 180521,Marek Zaleski,24
25,NED,NED 212650,Duko Bos,25
26,GER,GER 211432,Nik Aaron Willim,26
27,GBR,GBR 212950,Joseph Mullan,27
28,JPN,JPN 215099,Kenji Nanri,28
29,GBR,GBR 211414,Cameron Tweedle,29
30,MAS,MAS 214989,Khairulnizam Mohd Afendy,30
31,CHI,CHI 211888,Clemente Seguel,31
32,ESP,ESP 213498,Manuel barber Ponciano,32
33,CHN,CHN 211127,Zili Wang,33
34,IRL,IRL 210101,Ewan McMahon,34
35,FIN,FIN 215436,Nooa Henrik Laukkanen,35
36,JPN,JPN 211154,Yuichiro Kitamura,36
37,URU,URU 216133,Ignacio Rodriguez,37
38,JPN,JPN 208000,Kazumasa Segawa,38
39,ITA,ITA 213752,Ciro Basile,39
40,CAN,CAN 212612,Justin Norton,40
41,SGP,SGP 199094,Mark Wong,41
42,GRE,GRE 210400,Marios Karadimas,42
43,CHN,CHN 211225,Yang Yang,43
44,ITA,ITA 207626,AMOS DI BENEDETTO,44
45,ISR,ISR 202121,Omer Golani,45
46,TUR,TUR 191719,Berkay Abay,46
47,ITA,ITA 209114,Giovanni Sanfilippo,47
48,EST,EST 212230,Martin Aruja,48
49,ITA,ITA 215275,Andrea Ribolzi,49
50,ARG,ARG 199218,Juan Alberto Casalone,50
51,ESP,ESP 209164,Carlos Rosello,51
57,FIN,FIN 214111,Kaarle Tapper,57DNC
57,ITA,ITA 215111,Marco Gallo,57BFD
57,SUI,SUI 215485,Nicolas Rolaz,57DNC
57,ITA,ITA 213017,Rodolfo Silvestrini,57DNF
57,JPN,JPN 204996,Yoshihiro SUZUKI,57DNC
