Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ITA,ITA 202261,Gianmarco Planchestainer,1
2,CYP,CYP 212431,Pavlos Kontides,2
3,TTO,TTO 184116,Andrew Lewis,3
4,ITA,ITA 214149,Giovanni Coccoluto,4
5,HUN,HUN 213119,Jonatan Vadnai,5
6,CRO,CRO 215838,Filip Jurisic,6
7,BUL,BUL 213486,Ivo Todorov,7
8,HUN,HUN 213095,Benjamin Vadnai,8
9,RUS,RUS 213011,Sergey Komissarov,9
10,POL,POL 214117,Jakub Rodziewicz,10
11,ECU,ECU 188778,Matias Dyck,11
12,GRE,GRE 212527,Adonis Bougiouris,12
13,BEL,BEL 215347,Wannes Van Laer,13
14,NED,NED 171111,Niels Broekhuizen,14
15,ESP,ESP 213123,Jesus Rogel Sanchez,15
16,SWE,SWE 215344,Jesper Stalheim,16
17,FIN,FIN 211411,Aleksi Tapper,17
18,TUR,TUR 207480,Alp Rona Rodopman,18
19,CZE,CZE 215495,Viktor Teply,19
20,BEL,BEL 210470,William De Smet,20
21,GBR,GBR 213719,Sam Whaley,21
22,ARG,ARG 213387,Francisco Guaragna Rigonat,22
23,HKG,HKG 171979,Hong Kong,23
24,ITA,ITA 213176,Matteo Guardigli,24
25,IRL,IRL 210978,Liam Glynn,25
26,RUS,RUS 213593,Kirill Evfimyevskiy,26
27,ESA,ESA 180192,Enrique Jose Arathoon Pacas,27
28,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,28
29,CRO,CRO 215835,Tonci Stipanovic,29
30,BRN,BRN 212489,Abdulla Janahi,30
31,ITA,ITA 188983,Nicolo Villa,31
32,CAN,CAN 214917,Hugh Macrae,32
33,ISR,ISR 211955,Sagie Glantz,33
34,ESP,ESP 211710,Joel Rodriguez,34
35,AUS,AUS 215612,Luke Elliott,35
36,MNE,MNE 213370,Ilija Markovic,36
37,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,37
38,ITA,ITA 210415,Luca Lorenzoni,38
39,MON,MON 199212,Jeremy Moutout,39
40,CZE,CZE 195103,Stepan Novotny,40
41,MNE,MNE 215840,Milivoj Dukic,41
42,CZE,CZE 211236,Jakub Halouzka,42
43,EST,EST 212229,Georg Haud,43
44,CAN,CAN 214514,Luke Ruitenberg,44
45,ESP,ESP 213859,Mario Plomer Quiroga,45
46,ITA,ITA 212295,Andrea Chiappe,46
47,MEX,MEX 181615,Juan Ignacio Perez,47
48,GBR,GBR 214490,Daniel Whiteley,48
49,ISR,ISR 214931,Maor Ben Hrosh,49
50,ESP,ESP 196717,Pere Ponseti Mesquida,50
51,ESP,ESP 215314,Pep Cazador Ribera,51
52,GBR,GBR 211726,Benjamin Flowerr,52
53,POR,POR 212213,Santiago Sampaio,53
54,ITA,ITA 211062,Pietro De Frenza,54
57,USA,USA 199796,Malcolm Lamphere,57DNC
