Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,FRA,FRA 213932,Jean Baptiste Bernaz,1
2,GUA,GUA 211981,Juan Ignacio Maegli Aguero,2
3,AUS,AUS 199012,Tom Burton,3
4,FRA,FRA 211863,Maxime Mazard,4
5,AUS,AUS 214418,Finn Alexander,5
6,CAN,CAN 212845,Fillah Karim,6
7,NZL,NZL 216175,Sam Meech,7
8,AUS,AUS 199015,Matthew Wearn,8
9,SWE,SWE 215344,Jesper Stalheim,9
10,BEL,BEL 207173,William De Smet,10
11,GBR,GBR 209134,Elliot Hanson,11
12,FIN,FIN 214111,Kaarle Tapper,12
13,ITA,ITA 188953,Giovanni Coccoluto,13
14,EST,EST 203724,Karl-Martin Rammo,14
15,GBR,GBR 214009,Lorenzo Brando Chiavarini,15
16,GER,GER 212767,Philipp Buhl,16
17,USA,USA 210780,Christopher Barnard,17
18,ESP,ESP 211710,Joel Rodriguez,18
19,TTO,TTO 184116,Andrew Lewis,19
20,ESA,ESA 180192,Enrique Jose Arathoon Pacas,20
21,POL,POL 192583,Tadeusz Kubiak,21
22,GER,GER 211432,Nik Aaron Willim,22
23,USA,USA 209071,Henry Marshall,23
24,USA,USA 206051,Charlie Buckingham,24
25,ISR,ISR 214931,Maor Ben Hrosh,25
26,NED,NED 215438,Niels Broekhuizen,26
27,ARG,ARG 211570,Agustin Vidal Incatasciato,27
28,GBR,GBR 215379,Jack Cookson,28
29,NZL,NZL 212259,Josh Armit,29
30,CHN,CHN 212277,Yulong Qiu,30
31,NOR,NOR 201111,Hermann Tomasgaard,31
32,TUR,TUR 207480,Alp Rona Rodopman,32
33,SWE,SWE 211567,Wilhelm Kark,33
34,GRE,GRE 212529,Dimitris Papadimitriou,34
35,CAN,CAN 211542,Robert Davis,35
36,ISR,ISR 211955,Sagie Glantz,36
37,ITA,ITA 215111,Marco Gallo,37
38,CAN,CAN 214917,Hugh Macrae,38
39,ITA,ITA 214150,Gianmarco Planchestainer,39
52,IRL,IRL 210254,Finn Lynch,52BFD
52,NZL,NZL 214437,George Gautrey,52BFD
52,SUI,SUI 210211,Eliot Merceron,52BFD
52,ESP,ESP 211440,Joaquin Blanco,52BFD
52,BEL,BEL 215353,Wannes Van Laer,52BFD
52,NZL,NZL 215081,Thomas Saunders,52BFD
52,PER,PER 206115,Stefano Peschiera,52BFD
52,GBR,GBR 212791,Michael Beckett,52BFD
52,GBR,GBR 201481,Jack Wetherell,52BFD
52,IRL,IRL 210978,Liam Glynn,52BFD
52,URU,URU 212833,Ignacio Rodriguez,52DNC
52,NED,NED 212968,Yuri Hummel,52BFD
