Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,CHN,CHN 211127,Zili Wang,1
2,CAN,CAN 208550,Matti Muru,2
3,CHI,CHI 211888,Clemente Seguel,3
4,CAN,CAN 210644,James Juhasz,4
5,POL,POL 208552,Filip Ciszkiewicz,5
6,EST,EST 212229,Georg Haud,6
7,ISR,ISR 202121,Omer Golani,7
8,USA,USA 180521,Marek Zaleski,8
9,CAN,CAN 215019,Liam Bruce,9
10,CAN,CAN 209376,Luke Ruitenberg,10
11,EST,EST 212230,Martin Aruja,11
12,USA,USA 157851,Leo Boucher,12
13,ECU,ECU 188778,Matias Dyck,13
14,GBR,GBR 214490,Daniel Whiteley,14
15,ESP,ESP 213867,Mon Canellas Salas,15
16,IVB,IVB 208841,Thad Lettsome,16
17,SGP,SGP 215267,Ryan Lo,17
18,SUI,SUI 215485,Nicolas Rolaz,18
19,POL,POL 215006,Dawid Kania,19
20,ITA,ITA 188983,Nicolo Villa,20
21,POL,POL 214117,Jakub Rodziewicz,21
22,COL,COL 208822,Andrey Quintero,22
23,BUL,BUL 213486,Ivo Todorov,23
24,THA,THA 211027,Chusitt Punjamala,24
25,CAN,CAN 209616,Forrest Wachholz,25
26,CAY,CAY 206160,Jesse Jackson,26
28,PUR,PUR 174311,Pedro Luis Fernandez,28STP
28,BAR,BAR 160107,Scott Gittens,28
29,BRN,BRN 212489,Abdulla Janahi,29
30,CAN,CAN 212612,Justin Norton,30
31,DEN,DEN 206979,Georg Philip Bunk Lauritsen,31
32,MEX,MEX 200374,Gerardo Benitez,32
33,HKG,HKG 171979,Hong Kong,33
34,FIN,FIN 215016,Fredrik Westman,34
35,MEX,MEX 181615,Juan Ignacio Perez,35
36,POR,POR 212213,Santiago Sampaio,36
37,BER,BER 209338,Malcolm Benn Smith,37
38,ESP,ESP 216631,Jesus Rogel Sanchez,38
39,USA,USA 199796,Malcolm Lamphere,39
40,TPE,TPE 200315,Gerald Williams,40
41,GUA,GUA 182112,Gabriel Sanz Agero,41
42,MEX,MEX 200591,Adrian Elizondo Garza,42
51,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,51BFD
51,MEX,MEX 213173,Yanic Gentry,51BFD
51,GBR,GBR 213719,Sam Whaley,51BFD
51,USA,USA 211822,Paul Didham,51BFD
51,USA,USA 210459,Scott Rasmussen,51DNC
51,CAN,CAN 192936,Chris Dold,51DNC
51,USA,USA 199338,Marshall McCann,51BFD
51,USA,USA 171880,Steven Schwartz,51DNC
