Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,GBR,GBR 214490,Daniel Whiteley,1
2,POL,POL 214117,Jakub Rodziewicz,2
3,USA,USA 180521,Marek Zaleski,3
4,MEX,MEX 213173,Yanic Gentry,4
5,CAN,CAN 208550,Matti Muru,5
6,ITA,ITA 188983,Nicolo Villa,6
7,IVB,IVB 208841,Thad Lettsome,7
8,GBR,GBR 213719,Sam Whaley,8
9,POR,POR 212213,Santiago Sampaio,9
10,ECU,ECU 188778,Matias Dyck,10
11,TPE,TPE 200315,Gerald Williams,11
12,POL,POL 215006,Dawid Kania,12
13,USA,USA 157851,Leo Boucher,13
14,HKG,HKG 171979,Hong Kong,14
15,CHN,CHN 211127,Zili Wang,15
16,FIN,FIN 215016,Fredrik Westman,16
17,CHI,CHI 211888,Clemente Seguel,17
18,POL,POL 208552,Filip Ciszkiewicz,18
19,MEX,MEX 200374,Gerardo Benitez,19
20,USA,USA 211822,Paul Didham,20
21,CAN,CAN 210644,James Juhasz,21
22,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,22
23,ISR,ISR 202121,Omer Golani,23
24,COL,COL 208822,Andrey Quintero,24
25,SGP,SGP 215267,Ryan Lo,25
26,USA,USA 199796,Malcolm Lamphere,26
27,BRN,BRN 212489,Abdulla Janahi,27
28,CAN,CAN 209376,Luke Ruitenberg,28
29,CAN,CAN 209616,Forrest Wachholz,29
30,MEX,MEX 181615,Juan Ignacio Perez,30
31,ESP,ESP 216631,Jesus Rogel Sanchez,31
32,BAR,BAR 160107,Scott Gittens,32
33,ESP,ESP 213867,Mon Canellas Salas,33
34,THA,THA 211027,Chusitt Punjamala,34
35,BUL,BUL 213486,Ivo Todorov,35
36,CAN,CAN 192936,Chris Dold,36
37,USA,USA 210459,Scott Rasmussen,37
38,BER,BER 209338,Malcolm Benn Smith,38
39,SUI,SUI 215485,Nicolas Rolaz,39
40,CAN,CAN 212612,Justin Norton,40
41,GUA,GUA 182112,Gabriel Sanz Agero,41
42,DEN,DEN 206979,Georg Philip Bunk Lauritsen,42
43,PUR,PUR 174311,Pedro Luis Fernandez,43
44,CAY,CAY 206160,Jesse Jackson,44
45,USA,USA 199338,Marshall McCann,45
46,EST,EST 212229,Georg Haud,46
47,EST,EST 212230,Martin Aruja,47
48,CAN,CAN 215019,Liam Bruce,48
49,MEX,MEX 200591,Adrian Elizondo Garza,49
51,USA,USA 171880,Steven Schwartz,51DNC
