Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,GER,GER 211432,Nik Aaron Willim,1
2,NOR,NOR 201111,Hermann Tomasgaard,2
3,CAN,CAN 211542,Robert Davis,3
4,ESP,ESP 211440,Joaquin Blanco,4
5,FRA,FRA 213932,Jean Baptiste Bernaz,5
6,ISR,ISR 214931,Maor Ben Hrosh,6
7,AUS,AUS 199012,Tom Burton,7
8,IRL,IRL 210254,Finn Lynch,8
9,CHN,CHN 212277,Yulong Qiu,9
10,GBR,GBR 209134,Elliot Hanson,10
11,ITA,ITA 214150,Gianmarco Planchestainer,11
12,GBR,GBR 215379,Jack Cookson,12
13,PER,PER 206115,Stefano Peschiera,13
14,EST,EST 203724,Karl-Martin Rammo,14
15,BEL,BEL 215353,Wannes Van Laer,15
16,AUS,AUS 199015,Matthew Wearn,16
17,NZL,NZL 215081,Thomas Saunders,17
18,NZL,NZL 216175,Sam Meech,18
19,ITA,ITA 188953,Giovanni Coccoluto,19
20,ISR,ISR 211955,Sagie Glantz,20
21,SWE,SWE 215344,Jesper Stalheim,21
22,GRE,GRE 212529,Dimitris Papadimitriou,22
23,ESA,ESA 180192,Enrique Jose Arathoon Pacas,23
24,FIN,FIN 214111,Kaarle Tapper,24
25,AUS,AUS 214418,Finn Alexander,25
26,BEL,BEL 207173,William De Smet,26
27,GUA,GUA 211981,Juan Ignacio Maegli Aguero,27
28,NED,NED 215438,Niels Broekhuizen,28
29,ARG,ARG 211570,Agustin Vidal Incatasciato,29
30,FRA,FRA 211863,Maxime Mazard,30
31,SUI,SUI 210211,Eliot Merceron,31
32,TUR,TUR 207480,Alp Rona Rodopman,32
33,GER,GER 212767,Philipp Buhl,33
34,NED,NED 212968,Yuri Hummel,34
35,GBR,GBR 212791,Michael Beckett,35
36,SWE,SWE 211567,Wilhelm Kark,36
37,CAN,CAN 212845,Fillah Karim,37
38,ITA,ITA 215111,Marco Gallo,38
39,GBR,GBR 201481,Jack Wetherell,39
40,TTO,TTO 184116,Andrew Lewis,40
41,GBR,GBR 214009,Lorenzo Brando Chiavarini,41
42,IRL,IRL 210978,Liam Glynn,42
43,USA,USA 209071,Henry Marshall,43
44,URU,URU 212833,Ignacio Rodriguez,44
45,POL,POL 192583,Tadeusz Kubiak,45
46,USA,USA 206051,Charlie Buckingham,46
47,CAN,CAN 214917,Hugh Macrae,47
48,USA,USA 210780,Christopher Barnard,48
49,NZL,NZL 214437,George Gautrey,49
50,ESP,ESP 211710,Joel Rodriguez,50
51,NZL,NZL 212259,Josh Armit,51
