Pos,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Net
1,NOR,NOR 201111,Hermann Tomasgaard,3,1,1,4,5,2,6,3,2,(31),81,50
2,NZL,NZL 216175,Sam Meech,1,2,8,5,(26),7,14,10,18,7,123,97
3,AUS,AUS 199012,Tom Burton,2,12,4,15,(43),23,3,17,7,3,164,121
4,USA,USA 206051,Charlie Buckingham,8,6,8,10,14,10,20,8,(46),24,179,133
5,FRA,FRA 213932,Jean Baptiste Bernaz,12,10,3,9,13,15,31,(52)BFD,5,1,187,135
6,BEL,BEL 207173,William De Smet,1,22,5,6,1,34,10,(38),26,10,178,140
7,FIN,FIN 214111,Kaarle Tapper,13,5,(52)BFD,2,8,3,44,11,24,12,195,143
8,GBR,GBR 214009,Lorenzo Brando Chiavarini,10,3,14,13,17,30,2,32,(41),15,191,150
9,GUA,GUA 211981,Juan Ignacio Maegli Aguero,19,9,7,27,15,1,25,(28),27,2,193,165
10,IRL,IRL 210254,Finn Lynch,7STP,13,2,18,22,38,32,6,8,(52)BFD,224,172
11,AUS,AUS 199015,Matthew Wearn,5,4,15,17,9,26,27,29,16,8,196,156
12,GBR,GBR 209134,Elliot Hanson,26,(52)UFD,11,11,18,29,9,20,10,11,212,160
13,FRA,FRA 211863,Maxime Mazard,15,7,9,12,4,25,51,(52)DNC,30,4,213,161
14,USA,USA 210780,Christopher Barnard,9,4,6,9,2,24,34,26,(48),17,212,164
15,ITA,ITA 188953,Giovanni Coccoluto,4,(52)BFD,17,34,6,18,17,44,19,13,226,174
16,SWE,SWE 215344,Jesper Stalheim,22,(52)BFD,29,6,10,41,24,1,21,9,227,175
17,NZL,NZL 214437,George Gautrey,2,12,9,7,11,22,19,9,49,(52)BFD,233,181
18,TTO,TTO 184116,Andrew Lewis,22,14,18,13,21,17,28,25,(40),19,222,182
19,ISR,ISR 211955,Sagie Glantz,7,8,25,20,34,19,13,4,20,36,234,186
20,SUI,SUI 210211,Eliot Merceron,5,6,22,17,29,8,18,14,31,(52)BFD,238,186
21,ESP,ESP 211710,Joel Rodriguez,14,22,2,30,27,31,1,5,(50),18,237,187
22,EST,EST 203724,Karl-Martin Rammo,17,(52)BFD,3,3,32,28,29,33,14,14,247,195
23,ESP,ESP 211440,Joaquin Blanco,8,2,6,23,28,32,38,18,4,(52)BFD,249,197
