Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,BEL,BEL 207173,William De Smet,1
2,AUS,AUS 199012,Tom Burton,2
3,NZL,NZL 215081,Thomas Saunders,3
4,PER,PER 206115,Stefano Peschiera,4
5,SUI,SUI 210211,Eliot Merceron,5
6,GER,GER 212767,Philipp Buhl,6
7,ISR,ISR 211955,Sagie Glantz,7
8,ESP,ESP 211440,Joaquin Blanco,8
9,USA,USA 210780,Christopher Barnard,9
10,GBR,GBR 214009,Lorenzo Brando Chiavarini,10
11,GER,GER 211432,Nik Aaron Willim,11
12,ESA,ESA 180192,Enrique Jose Arathoon Pacas,12
13,BEL,BEL 215353,Wannes Van Laer,13
14,NED,NED 215438,Niels Broekhuizen,14
15,FRA,FRA 211863,Maxime Mazard,15
16,CHN,CHN 212277,Yulong Qiu,16
17,EST,EST 203724,Karl-Martin Rammo,17
18,POL,POL 215006,Dawid Kania,18
19,AUS,AUS 214418,Finn Alexander,19
20,GBR,GBR 212791,Michael Beckett,20
21,NED,NED 212968,Yuri Hummel,21
22,TTO,TTO 184116,Andrew Lewis,22
23,USA,USA 199796,Malcolm Lamphere,23
24,POL,POL 214117,Jakub Rodziewicz,24
25,GBR,GBR 213719,Sam Whaley,25
26,GRE,GRE 212529,Dimitris Papadimitriou,26
27,SWE,SWE 211567,Wilhelm Kark,27
28,MEX,MEX 213173,Yanic Gentry,28
29,CHN,CHN 211127,Zili Wang,29
30,POR,POR 212213,Santiago Sampaio,30
31,GBR,GBR 214490,Daniel Whiteley,31
32,USA,USA 209071,Henry Marshall,32
33,POL,POL 192583,Tadeusz Kubiak,33
34,CAN,CAN 209376,Luke Ruitenberg,34
35,GBR,GBR 215379,Jack Cookson,35
36,USA,USA 157851,Leo Boucher,36
37,GUA,GUA 182112,Gabriel Sanz Agero,37
38,COL,COL 208822,Andrey Quintero,38
39,USA,USA 199338,Marshall McCann,39
40,FIN,FIN 215016,Fredrik Westman,40
41,BAR,BAR 160107,Scott Gittens,41
42,HKG,HKG 171979,Hong Kong,42
43,DEN,DEN 206979,Georg Philip Bunk Lauritsen,43
44,TPE,TPE 200315,Gerald Williams,44
45,CAY,CAY 206160,Jesse Jackson,45
46,CAN,CAN 209616,Forrest Wachholz,46
47,SUI,SUI 215485,Nicolas Rolaz,47
48,USA,USA 210459,Scott Rasmussen,48
49,MEX,MEX 200591,Adrian Elizondo Garza,49
52,USA,USA 171880,Steven Schwartz,52DNS
