Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,NZL,NZL 216175,Sam Meech,1
2,NZL,NZL 214437,George Gautrey,2
3,NOR,NOR 201111,Hermann Tomasgaard,3
4,ITA,ITA 188953,Giovanni Coccoluto,4
5,AUS,AUS 199015,Matthew Wearn,5
7,IRL,IRL 210254,Finn Lynch,7STP
7,CAN,CAN 211542,Robert Davis,7
8,USA,USA 206051,Charlie Buckingham,8
9,POL,POL 208552,Filip Ciszkiewicz,9
10,IRL,IRL 210978,Liam Glynn,10
11,GBR,GBR 201481,Jack Wetherell,11
12,FRA,FRA 213932,Jean Baptiste Bernaz,12
13,FIN,FIN 214111,Kaarle Tapper,13
14,ESP,ESP 211710,Joel Rodriguez,14
15,ISR,ISR 202121,Omer Golani,15
16,NZL,NZL 212259,Josh Armit,16
17,ITA,ITA 214150,Gianmarco Planchestainer,17
18,TUR,TUR 207480,Alp Rona Rodopman,18
19,GUA,GUA 211981,Juan Ignacio Maegli Aguero,19
20,ITA,ITA 188983,Nicolo Villa,20
21,CHI,CHI 211888,Clemente Seguel,21
22,SWE,SWE 215344,Jesper Stalheim,22
23,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,23
24,URU,URU 212833,Ignacio Rodriguez,24
25,ARG,ARG 211570,Agustin Vidal Incatasciato,25
26,GBR,GBR 209134,Elliot Hanson,26
27,THA,THA 211027,Chusitt Punjamala,27
28,CAN,CAN 214917,Hugh Macrae,28
29,CAN,CAN 212845,Fillah Karim,29
31,SGP,SGP 215267,Ryan Lo,31
32,ISR,ISR 214931,Maor Ben Hrosh,32
33,ITA,ITA 215111,Marco Gallo,33
33,CAN,CAN 208550,Matti Muru,32.6DPI
34,CAN,CAN 192936,Chris Dold,34
35,BRN,BRN 212489,Abdulla Janahi,35
36,MEX,MEX 181615,Juan Ignacio Perez,36
37,PUR,PUR 174311,Pedro Luis Fernandez,37
38,ESP,ESP 216631,Jesus Rogel Sanchez,38
39,USA,USA 180521,Marek Zaleski,39
40,USA,USA 211822,Paul Didham,40
41,CAN,CAN 212612,Justin Norton,41
42,CAN,CAN 215019,Liam Bruce,42
43,ECU,ECU 188778,Matias Dyck,43
44,ESP,ESP 213867,Mon Canellas Salas,44
45,BUL,BUL 213486,Ivo Todorov,45
46,EST,EST 212229,Georg Haud,46
47,IVB,IVB 208841,Thad Lettsome,47
48,BER,BER 209338,Malcolm Benn Smith,48
49,MEX,MEX 200374,Gerardo Benitez,49
50,EST,EST 212230,Martin Aruja,50
51,CAN,CAN 210644,James Juhasz,51
