Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,NOR,NOR 201111,Hermann Tomasgaard,1
2,NZL,NZL 216175,Sam Meech,2
3,NZL,NZL 212259,Josh Armit,3
4,AUS,AUS 199015,Matthew Wearn,4
5,FIN,FIN 214111,Kaarle Tapper,5
6,USA,USA 206051,Charlie Buckingham,6
7,GBR,GBR 201481,Jack Wetherell,7
8,ITA,ITA 215111,Marco Gallo,8
9,GUA,GUA 211981,Juan Ignacio Maegli Aguero,9
10,FRA,FRA 213932,Jean Baptiste Bernaz,10
11,CAN,CAN 212845,Fillah Karim,11
12,NZL,NZL 214437,George Gautrey,12
13,IRL,IRL 210254,Finn Lynch,13
14,CAN,CAN 211542,Robert Davis,14
15,IRL,IRL 210978,Liam Glynn,15
16,ISR,ISR 214931,Maor Ben Hrosh,16
17,URU,URU 212833,Ignacio Rodriguez,17
18,CAN,CAN 214917,Hugh Macrae,18
19,ESP,ESP 213867,Mon Canellas Salas,19
20,ECU,ECU 188778,Matias Dyck,20
21,CAN,CAN 212612,Justin Norton,21
22,ESP,ESP 211710,Joel Rodriguez,22
23,ITA,ITA 188983,Nicolo Villa,23
24,ITA,ITA 214150,Gianmarco Planchestainer,24
26,ESP,ESP 216631,Jesus Rogel Sanchez,26
27,POL,POL 208552,Filip Ciszkiewicz,27
28,CAN,CAN 208550,Matti Muru,27.6DPI
28,BER,BER 209338,Malcolm Benn Smith,28
29,SGP,SGP 215267,Ryan Lo,29
30,EST,EST 212229,Georg Haud,30
31,USA,USA 211822,Paul Didham,31
32,CHI,CHI 211888,Clemente Seguel,32
33,MEX,MEX 200374,Gerardo Benitez,33
34,ISR,ISR 202121,Omer Golani,34
35,CAN,CAN 210644,James Juhasz,35
36,BUL,BUL 213486,Ivo Todorov,36
37,MEX,MEX 181615,Juan Ignacio Perez,37
38,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,38
39,IVB,IVB 208841,Thad Lettsome,39
40,USA,USA 180521,Marek Zaleski,40
41,EST,EST 212230,Martin Aruja,41
42,CAN,CAN 215019,Liam Bruce,42
52,GBR,GBR 209134,Elliot Hanson,52UFD
52,ITA,ITA 188953,Giovanni Coccoluto,52BFD
52,SWE,SWE 215344,Jesper Stalheim,52BFD
52,ARG,ARG 211570,Agustin Vidal Incatasciato,52BFD
52,TUR,TUR 207480,Alp Rona Rodopman,52BFD
52,BRN,BRN 212489,Abdulla Janahi,52BFD
52,PUR,PUR 174311,Pedro Luis Fernandez,52BFD
52,THA,THA 211027,Chusitt Punjamala,52BFD
52,CAN,CAN 192936,Chris Dold,52BFD
