Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,GRE,GRE 212529,Dimitris Papadimitriou,1
2,NZL,NZL 212259,Josh Armit,2
3,EST,EST 203724,Karl-Martin Rammo,3
4,NOR,NOR 201111,Hermann Tomasgaard,4
5,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,5
6,BEL,BEL 207173,William De Smet,6
7,GBR,GBR 214490,Daniel Whiteley,7
8,PER,PER 206115,Stefano Peschiera,8
9,USA,USA 210780,Christopher Barnard,9
10,USA,USA 206051,Charlie Buckingham,10
11,GBR,GBR 209134,Elliot Hanson,11
12,FRA,FRA 211863,Maxime Mazard,12
13,GBR,GBR 214009,Lorenzo Brando Chiavarini,13
14,ARG,ARG 211570,Agustin Vidal Incatasciato,14
15,POL,POL 192583,Tadeusz Kubiak,15
16,IRL,IRL 210978,Liam Glynn,16
17,AUS,AUS 199015,Matthew Wearn,17
18,ITA,ITA 215111,Marco Gallo,18
19,POL,POL 214117,Jakub Rodziewicz,19
20,ISR,ISR 211955,Sagie Glantz,20
21,SWE,SWE 211567,Wilhelm Kark,21
22,URU,URU 212833,Ignacio Rodriguez,22
23,ESP,ESP 216631,Jesus Rogel Sanchez,23
24,CAN,CAN 208550,Matti Muru,24
25,GUA,GUA 182112,Gabriel Sanz Agero,25
26,TPE,TPE 200315,Gerald Williams,26
27,GBR,GBR 212791,Michael Beckett,27
28,MEX,MEX 213173,Yanic Gentry,28
29,NED,NED 212968,Yuri Hummel,29
30,ESP,ESP 211710,Joel Rodriguez,30
31,ESP,ESP 213867,Mon Canellas Salas,31
32,DEN,DEN 206979,Georg Philip Bunk Lauritsen,32
33,CAN,CAN 215019,Liam Bruce,33
34,ISR,ISR 202121,Omer Golani,34
35,BUL,BUL 213486,Ivo Todorov,35
36,CAN,CAN 214917,Hugh Macrae,36
37,CAY,CAY 206160,Jesse Jackson,37
38,HKG,HKG 171979,Hong Kong,38
39,BRN,BRN 212489,Abdulla Janahi,39
40,GBR,GBR 201481,Jack Wetherell,40
41,EST,EST 212229,Georg Haud,41
42,IVB,IVB 208841,Thad Lettsome,42
43,BAR,BAR 160107,Scott Gittens,43
44,USA,USA 157851,Leo Boucher,44
45,MEX,MEX 200591,Adrian Elizondo Garza,45
52,NED,NED 215438,Niels Broekhuizen,52DNC
52,CHN,CHN 211127,Zili Wang,52UFD
52,POR,POR 212213,Santiago Sampaio,52DNC
52,USA,USA 211822,Paul Didham,52UFD
52,EST,EST 212230,Martin Aruja,52UFD
