Pos,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net
1,PER,PER 206115,Stefano Peschiera,6,2,(9),2,1,5,3,30,21
2,ARG,ARG 213387,Francisco Guaragna Rigonat,(5),3,1,3,3,1,2,32,27
3,ESA,ESA 180192,Enrique Jose Arathoon Pacas,(41)DNF,5,10,1,2,3,7,73,32
4,TTO,TTO 184116,Andrew Lewis,2,4,3,5,8,8,(17),55,38
5,CAN,CAN 211542,Robert Davis,4,(18),4,4,10,6,5,63,45
6,CAN,CAN 214917,Hugh Macrae,(41)UFD,6,6,9,16,2,1,87,46
7,CAN,CAN 178611,Fillah Karim,(27),11,2,6,9,4,4,79,52
8,ESP,ESP 215311,Joaquin Blanco,1,1,5,(41)BFD,5,41DNS,13,117,76
9,CAN,CAN 214514,Luke Ruitenberg,9,8,11,10,7,18,(41)RET,124,83
10,CAN,CAN 208550,Matti Muru,21,7,12,7,13,11,(23),112,89
11,MEX,MEX 213173,Yanic Gentry,15,24,(26),8,4,7,20,104,78
12,ESP,ESP 214433,Guillermo Flores Martin,(41)UFD,9,14,21,15,13,12,125,84
13,USA,USA 199796,Malcolm Lamphere,24,28,7,(41)BFD,6,12,9,127,86
14,VEN,VEN 213065,Andres Boccalandro,10,13,17,19,(31),21,8,119,88
15,BER,BER 209338,Malcolm Benn Smith,19,10,8,18,21,(27),19,122,95
16,USA,USA 199567,Nicholas Sessions,7,15,(41)DNS,23,19,16,25,146,105
17,USA,USA 212597,Caleb Yoslov,23,(35),13,14,12,20,24,141,106
18,ITA,ITA 212480,Edoardo Libri,22,17,22,20,22,(41)UFD,6,150,109
19,LCA,LCA 214113,Luc Chevrier,12,33,21,(41)BFD,14,14,15,150,109
20,USA,USA 211822,Paul Didham,28,19,18,15,23,9,(41)UFD,153,112
21,CAN,CAN 212612,Justin Norton,31,14,19,(41)BFD,11,10,30,156,115
22,CAN,CAN 216263,Forrest Wachholz,29,30STP,(41)RET,11,17,15,21,164,123
23,CAN,CAN 215019,Liam Bruce,8,25,15,25,26,25,(41)RET,165,124
24,IVB,IVB 208841,Thad Lettsome,11,31,16,(41)BFD,28,22,18,167,126
25,CAN,CAN 206719,Noah Collinson,(30),28STP,20,16,24,17,22,157,127
26,ARU,ARU 205411,Tijn van der Gulik,17,20,30,14STP,(34),24,26,165,131
27,USA,USA 194236,Daniel Escudero,20,16,25,(41)BFD,29,26,16,173,132
28,CAN,CAN 216284,Norman Struthers,25,21,(28),17,18,23,28,160,132
29,USA,USA 206054,Marcus Huttunen,13,23,(33),26,25,32,14,166,133
30,MEX,MEX 200374,Gerardo Benitez,14,12,(37),22,27,29,34,175,138
31,ANT,ANT 165456,Daniel Smit,16,(37),23,28,30,28,29,191,154
32,USA,USA 184509,Christian Ehrnrooth,3,35STP,27,(41)BFD,41DNC,19,32,198,157
33,BAR,BAR 160107,Scott Gittens,26,22,36,29,(37),33,11,194,157
34,EGY,EGY 215121,Aly Badawy,18,30,24,24,32,30,(33),191,158
35,USA,USA 212616,Lucas Sawin,35,36,29,28STP,33,(41)DNF,10,212,171
36,CAN,CAN 210644,James Juhasz,33,38,31,12,20,(41)UFD,41RET,216,175
37,CAY,CAY 206120,Jesse Jackson,32,32,35,30,36,31,(41)RET,237,196
38,USA,USA 210869,James Golden,36,27STP,32,(41)BFD,35,41DNE,28STP,240,199
39,CAN,CAN 21501,Marek Beylich,34,39,34,(41)BFD,38,34,31,251,210
40,USA,USA 171880,Steven Schwartz,37,(41)STP,41DNC,41DNC,41DNC,41DNC,35,277,236
