,,,BRANT BEACH SAILING FOUNDATION - BRANT BEACH,,,,,,,YC ,,,,,,
,,,COLIE SAILS NORTH AMERICAN CHAMPIONSHIPS ,,,,,,,,,,,,,
,,,,,"JULY 18-21, 2019 ",,,,,,,,,,,
,,,,,All Boats ,,,,,,,,,,,
,,,,STNDRD NA 2019 Class Series Summary ,,,,,,,,,,,,
Pl ,Sail # Sailor ,,Subg. ,From ,Total ,1,2,3,4,5,6,7,8,9,10,11
1,CAN206719 Noah Collinson ,,,RCYC-CSDS ,25,3,(4) ,4,3,1,2,(6) ,4,3,3,2
2,157851,Leo Boucher ,,SSA ,26,4,5,2,(6) ,5,5,2,1,1,1,(8) 
3,BER215024 ,Benn Smith ,,RBYC ,29,(12) ,3,1,2,(9) ,1,1,3,4,5,9
,,,,Ontario Sailin,,,,,,,,,,,,
4,210644,James Juhasz ,,,34,1,1,5,(10) ,3,6,3,2,6,7,(10) 
,,,,g Team ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(43\U
5,CAN209616 ,Forrest Wachholz ,,Barrie YC ,42,5,6,6,5,2,4,4,6,(16) ,4,
,,,,,,,,,,,,,,,,FD) 
,,,,Mantoloking ,,,,,,,,,,,,
6,209289,Peter Hurley ,ST M ,,53,2,2,9,4,7,10,(19) ,9,9,(15) ,1
,,,,YC ,,,,,,,,,,,,
,,,,Royal Canadi,,,,,,,,,,,,
7,CAN213556 ,Norman Struthers ,,,64,8,9,3,(20) ,6,3,9,8,7,(19) ,11
,,,,an YC ,,,,,,,,,,,,
,,,,Port Credit Y,,,,,,,,,,,,
8,CAN215019 ,Liam Bruce ,,,77,6,8,(16) ,14,11,12,10,5,2,9,(16) 
,,,,C-Ontario ST ,,,,,,,,,,,,
,,,,San Francisco,,,,,,,,,,,,
9,212597,Caleb Yoslov ,,,78,9,7,10,8,12,9,(17) ,15,5,(17) ,3
,,,, YC ,,,,,,,,,,,,
,,,,,,,,,,,(43\U,,,,,
10,214530,Jack Hemmelgarn ,,Chicago YC ,82,7,12,7,12,(20) ,,16,11,10,2,5
,,,,,,,,,,,FD) ,,,,,
,,,,US Sailing Ct,,,,,,,,,(43\,(43\,,
11,210690,Rob Hallawell ,ST M ,r. Martin Cou,97,11,13,14,1,10,7,15,OC,DNS,11,15
,,,,nty ,,,,,,,,,S) ,) ,,
12,209383,Caleb Robinson ,,Sailmaine ,97,(16) ,14,(21) ,7,13,15,5,12,11,13,7
13,CAN209075 Gord Welsh ,,ST APP ,SLYC ,102,13,(16) ,(19) ,16,16,8,8,7,15,6,13
,,,,Brant Beach ,,,,,,,,,,,,
14,194505,Eric Reitinger ,ST APP ,,103,15,11,13,9,4,14,12,(21) ,(19) ,8,17
,,,,YC ,,,,,,,,,,,,
,,,,Brant Beach ,,,,,,,,,,,,
15,204428,Michael Russom ,,,116,17,(18) ,8,13,14,18,11,13,12,10,(23) 
,,,,YC ,,,,,,,,,,,,
,,,,GCYSA-,,,,,,,,,,,,
16,211535,Bryan Trammell ,,,121,10,17,11,(18) ,15,16,(23) ,16,18,12,6
,,,,TCYC ,,,,,,,,,,,,
17,CAN212868 Patrick Wachholz ,,ST M ,Barrie YC ,127,14,(22) ,17,17,8,13,(26) ,14,8,16,20
,,,,Spray Beach ,,,,,,,,,,,,
18,209692,Michael Ehnot ,,,154,19,21,(28) ,15,17,(23) ,13,20,21,14,14
,,,,YC ,,,,,,,,,,,,
,,Pierre-,,PCYC-,,,,,,,,,,,,
19,CAN214633 ,,,,157,20,10,22,11,19,24,(28) ,(25) ,25,22,4
,,Olivier Gagnon ,,CNDM ,,,,,,,,,,,,
20,210869,James Golden ,,Annapolis YC 158 ,,24,19,18,24,21,11,7,17,17,(31) ,(27) 
