,Pos,Nation,Sail Number,Crew,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Points,Points
,Pos,Nation,Sail Number,Crew,1,2,3,4,5,6,7,8,9,10,Total,Net
0,1,SWE,SWE 215344,Jesper Stalheim,5,15,2,2,3,2,(36)RET,3,16,12,96.0,60.0
1,2,AUS,AUS 199012,Tom Burton,4,8,6,4,7,13,(27),15,4,2,90.0,63.0
2,3,NOR,NOR 201111,Hermann Tomasgaard,9,1,3,11,16,5,(29),6,6,8,94.0,65.0
3,4,AUS,AUS 199015,Matthew Wearn,3,4,8,13,8,4,(22),1,14,11,88.0,66.0
4,5,NZL,NZL 216175,Sam Meech,1,2,13,1,12,7,9,13,9,(27),94.0,67.0
5,6,FIN,FIN 214111,Kaarle Tapper,7,11,4,19,4,6,2,18,(21),10,102.0,81.0
6,7,GER,GER 191131,Philipp Buhl,6,5,(23),7,2,17,18,21,12,4,115.0,92.0
7,8,FRA,FRA 213932,Jean Baptiste Bernaz,2,3,(25),12,13,14,16,8,24,6,123.0,98.0
8,9,CYP,CYP 212431,Pavlos Kontides,12,7,(36)BFD,9,25,20,19,5,3,1,137.0,101.0
9,10,BRA,BRA 207711,Robert Scheidt,8,6,17,20,5,(36)RET,5,7,18,19,141.0,105.0
10,11,CRO,CRO 212013,Tonci Stipanovic,10,19,20,15,10,18,12,(28),1,3,136.0,108.0
11,12,USA,USA 206051,Charlie Buckingham,11,18,(24),14,6,19,1,20,8,13,134.0,110.0
12,13,IRL,IRL 210254,Finn Lynch,19,23,5,10,15,11,7,(29),19,5,143.0,114.0
13,14,USA,USA 210780,Christopher Barnard,14,10,1,32,26,1,(33),4,20,7,148.0,115.0
14,15,SUI,SUI 210211,Eliot Merceron,(30),14,14,17,17,8,6,11,13,16,146.0,116.0
15,16,SGP,SGP 215267,Ryan Lo,26,21,9,8,(28),15,17,10,10,15,159.0,131.0
16,17,HUN,HUN 213095,Benjamin Vadnai,15,12,12,6,(31),29,13,2,27,17,164.0,133.0
17,18,PER,PER 206115,Stefano Peschiera,22,29,19,(36)DSQ,19,3,8,23,2,9,170.0,134.0
18,19,KOR,KOR 210793,Jeemin Ha,16,13,16,23,9,9,25,12,17,(26),166.0,140.0
19,20,SLO,SLO 214148,Zan Luka Zelko,13,31,(33),3,18,10,10,17,26,24,185.0,152.0
20,21,GUA,GUA 211981,Juan Ignacio Maegli Aguero,23,22,15,5,11,(36)RET,26,16,5,35,194.0,158.0
21,22,GBR,GBR 209134,Elliot Hanson,17,(25),7,18,21,25,3,25,25,20,186.0,161.0
22,23,THA,THA 215070,Keerati Bualong,21,(33),18,21,22,23,20,14,7,25,204.0,171.0
23,24,BEL,BEL 215793,Wannes Van Laer,20,17,26,25,14,12,21,22,(28),22,207.0,179.0
24,25,RUS,RUS 215432,Sergey Komissarov,18,16,29,24,24,31,4,19,15,(33),213.0,180.0
25,26,EST,EST 203724,Karl-Martin Rammo,28,9,11,31,30,16,(32),27,23,18,225.0,193.0
26,27,BEL,BEL 207173,William De Smet,25,20,(36)BFD,30,1,24,11,33,35,23,238.0,202.0
27,28,CAN,CAN 211542,Robert Davis,24,26,10,33,29,21,14,(36)UFD,31,14,238.0,202.0
28,29,ISR,ISR 211955,Sagie Glantz,(32),24,30,16,20,27,23,24,11,31,238.0,206.0
29,30,ESP,ESP 215311,Joaquin Blanco,27,(30),22,26,27,26,15,9,29,30,241.0,211.0
30,31,MAS,MAS 214989,Khairulnizam Mohd Afendy,29,27,21,22,23,22,(36)RET,26,22,29,257.0,221.0
31,32,JPN,JPN 216245,Kazumasa Segawa,(34),28,27,28,33,32,28,32,30,21,293.0,259.0
32,33,CHN,CHN 211313,Yulong Qiu,(33),32,28,27,32,30,24,31,32,28,297.0,264.0
33,34,HKG,HKG 171979,Hong Kong,31,(34),32,29,34,28,31,30,34,34,317.0,283.0
34,35,BUL,BUL 165271,Ivo Todorov,(35),35,31,34,35,33,30,34,33,32,332.0,297.0
