Name,SailNum,Cty,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
Francisco GUARAGNA RIGONAT,18,ARG,10.0,,,19.0,,,16.0,,,28.0,,,,18.0,,,11.0,,,20.0,,,2.0,,,22.0,,,18.0,,,10.0,,,12.0,
Agustin VIDAL INCATASCIATO,51,ARG,,,31.0,,,24.0,,33.0,,,27.0,,25.0,,,30.0,,,,,43.0,,,43.0,,,43.0,,,43.0,,,43.0,,,43.0
Juan BISIO,58,ARG,,,18.0,,,26.0,,30.0,,,25.0,,,,27.0,,,28.0,,43.0,,,29.0,,,27.0,,,43.0,,,43.0,,,43.0,
Francisco RENNA,79,ARG,12.0,,,20.0,,,,21.0,,,23.0,,20.0,,,25.0,,,,43.0,,,3.0,,,26.0,,,22.0,,,11.0,,,19.0,
Tomas PELLEJERO,80,ARG,23.0,,,18.0,,,,,17.0,,,25.0,10.0,,,12.0,,,,25.0,,,26.0,,,4.0,,,32.0,,,23.0,,,43.0,
Julio ALSOGARAY,89,ARG,,,43.0,,,18.0,,16.0,,,13.0,,,12.0,,,17.0,,,43.0,,,10.0,,,6.0,,,6.0,,,5.0,,,4.0,
Juan Pablo CARDOZO,108,ARG,,25.0,,,27.0,,,,16.0,,,20.0,13.0,,,10.0,,,,19.0,,,31.0,,,31.0,,,27.0,,,39.0,,,26.0,
Matt WEARN,1,AUS,6.0,,,4.0,,,,,2.0,,,2.0,2.0,,,11.0,,,4.0,,,8.0,,,2.0,,,2.0,,,9.0,,,6.0,,
Tom BURTON,2,AUS,,7.0,,,13.0,,,9.0,,,7.0,,8.0,,,15.0,,,8.0,,,17.0,,,14.0,,,11.0,,,18.0,,,43.0,,
Luke ELLIOTT,28,AUS,,,3.0,,,6.0,2.0,,,1.0,,,,10.0,,,5.0,,6.0,,,10.0,,,15.0,,,14.0,,,24.0,,,10.0,,
Finn ALEXANDER,36,AUS,2.0,,,1.0,,,15.0,,,2.0,,,,,12.0,,,14.0,29.0,,,16.0,,,34.0,,,12.0,,,37.0,,,23.0,,
Mitchell KENNEDY,37,AUS,13.0,,,7.0,,,,,9.0,,,9.0,,8.0,,,9.0,,11.0,,,35.0,,,36.0,,,39.0,,,11.0,,,9.0,,
Richard MAHER,76,AUS,,,30.0,,,23.0,,23.0,,,22.0,,,20.0,,,26.0,,,5.0,,,40.0,,,9.0,,,12.0,,,13.0,,,3.0,
Dan SELF,81,AUS,,15.0,,,21.0,,,,22.0,,,23.0,,24.0,,,25.0,,,24.0,,,39.0,,,18.0,,,23.0,,,29.0,,,43.0,
Samuel KING,100,AUS,,,20.0,,,30.0,,35.0,,,29.0,,,,29.0,,,29.0,,,43.0,,,14.0,,,15.0,,,3.0,,,1.0,,,1.0
James STEWART,101,AUS,,,36.0,,,25.0,,,35.0,,,19.0,,33.0,,,28.0,,,,43.0,,,19.0,,,28.0,,,15.0,,,43.0,,,43.0
Ethan MCAULLAY,106,AUS,,,9.0,,,17.0,20.0,,,14.0,,,,,11.0,,,24.0,,10.0,,,17.0,,,5.0,,,8.0,,,3.0,,,27.0,
William SARGENT,110,AUS,39.0,,,37.0,,,38.0,,,39.0,,,,,38.0,,,39.0,,,22.0,,,27.0,,,32.0,,,22.0,,,18.0,,,22.0
Zac LITTLEWOOD,111,AUS,,34.0,,,17.0,,,,25.0,,,21.0,,,20.0,,,22.0,,9.0,,,20.0,,,32.0,,,20.0,,,25.0,,,25.0,
Connor SHAW,120,AUS,,,38.0,,,41.0,,41.0,,,40.0,,41.0,,,41.0,,,,,34.0,,,34.0,,,34.0,,,28.0,,,32.0,,,31.0
Campbell STEWART,121,AUS,,38.0,,,38.0,,,39.0,,,39.0,,40.0,,,40.0,,,,,35.0,,,29.0,,,31.0,,,20.0,,,34.0,,,34.0
Stephen GUNTHER,122,AUS,40.0,,,40.0,,,39.0,,,43.0,,,,40.0,,,43.0,,,,32.0,,,32.0,,,43.0,,,43.0,,,43.0,,,43.0
Thomas MCEVOY,125,AUS,,,39.0,,,42.0,,,41.0,,,41.0,,,42.0,,,40.0,,,36.0,,,43.0,,,36.0,,,33.0,,,33.0,,,32.0
Andrew ROBINSON,126,AUS,,,37.0,,,38.0,37.0,,,38.0,,,,38.0,,,37.0,,,,20.0,,,43.0,,,27.0,,,18.0,,,25.0,,,18.0
Wannes VAN LAER,20,BEL,,11.0,,,5.0,,,,13.0,,,6.0,,2.0,,,2.0,,32.0,,,29.0,,,20.0,,,19.0,,,3.0,,,1.0,,
William DE SMET,34,BEL,,,21.0,,,19.0,,,18.0,,,12.0,29.0,,,27.0,,,,14.0,,,8.0,,,1.0,,,21.0,,,4.0,,,8.0,
Campbell PATTON,115,BER,29.0,,,34.0,,,36.0,,,33.0,,,,36.0,,,34.0,,,,7.0,,,25.0,,,25.0,,,43.0,,,27.0,,,19.0
Robert SCHEIDT,63,BRA,,,16.0,,,11.0,,,12.0,,,10.0,7.0,,,9.0,,,38.0,,,43.0,,,39.0,,,43.0,,,43.0,,,43.0,,
Gustavo CORREA NASCIMENTO,113,BRA,,,29.0,,,34.0,22.0,,,29.0,,,,27.0,,,21.0,,,,4.0,,,2.0,,,1.0,,,43.0,,,7.0,,,23.0
Robert DAVIS,27,CAN,,,10.0,,,10.0,9.0,,,11.0,,,,22.0,,,22.0,,41.0,,,40.0,,,38.0,,,35.0,,,14.0,,,25.0,,
Hugh MACRAE,44,CAN,,13.0,,,12.0,,,12.0,,,31.0,,26.0,,,14.0,,,,21.0,,,16.0,,,23.0,,,25.0,,,34.0,,,43.0,
Fillah KARIM,46,CAN,,,28.0,,,28.0,,28.0,,,30.0,,22.0,,,1.0,,,,13.0,,,36.0,,,33.0,,,24.0,,,16.0,,,16.0,
Luke RUITENBERG,47,CAN,,24.0,,,28.0,,28.0,,,30.0,,,32.0,,,22.0,,,,,3.0,,,8.0,,,19.0,,,24.0,,,10.0,,,7.0
Liam BRUCE,65,CAN,,36.0,,,36.0,,,,33.0,,,37.0,,,36.0,,,37.0,,,28.0,,,33.0,,,26.0,,,25.0,,,11.0,,,28.0
Justin NORTON,67,CAN,28.0,,,24.0,,,34.0,,,31.0,,,,,37.0,,,32.0,,,19.0,,,11.0,,,6.0,,,7.0,,,8.0,,,12.0
Matti MURU,69,CAN,,,33.0,,,33.0,,29.0,,,37.0,,38.0,,,31.0,,,,,16.0,,,26.0,,,29.0,,,19.0,,,26.0,,,5.0
Forrest WACHHOLZ,71,CAN,,31.0,,,32.0,,,36.0,,,36.0,,,,34.0,,,36.0,,,18.0,,,23.0,,,14.0,,,29.0,,,43.0,,,43.0
James JUHASZ,84,CAN,,33.0,,,39.0,,43.0,,,36.0,,,,,39.0,,,26.0,,,43.0,,,17.0,,,18.0,,,9.0,,,22.0,,,30.0
Clemente SEGUEL LACAMARA,60,CHI,,,,,,,,,,,,,,,,,,,,43.0,,,11.0,,,25.0,,,10.0,,,19.0,,,22.0,
Tonci STIPANOVIC,11,CRO,,1.0,,,2.0,,,13.0,,,2.0,,,,6.0,,,1.0,18.0,,,15.0,,,4.0,,,4.0,,,21.0,,,11.0,,
Filip JURISIC,17,CRO,,,,,,,,,,,,,,,,,,,17.0,,,32.0,,,16.0,,,24.0,,,12.0,,,7.0,,
Pavlos KONTIDES,5,CYP,,3.0,,,4.0,,,,6.0,,,13.0,12.0,,,5.0,,,27.0,,,43.0,,,17.0,,,5.0,,,13.0,,,8.0,,
Christian GULDBERG ROST,59,DEN,,2.0,,,29.0,,,,23.0,,,27.0,,,22.0,,,19.0,,12.0,,,32.0,,,12.0,,,31.0,,,30.0,,,31.0,
Georg Philip BUNK LAURITSEN,95,DEN,,,34.0,,,27.0,,,32.0,,,33.0,,35.0,,,39.0,,,,11.0,,,6.0,,,11.0,,,23.0,,,19.0,,,6.0
Enrique ARATHOON,30,ESA,19.0,,,16.0,,,,,15.0,,,5.0,,13.0,,,7.0,,19.0,,,34.0,,,27.0,,,27.0,,,29.0,,,15.0,,
Guillermo FLORES MARTIN,88,ESP,,,,,,,,,,,,,,,,,,,,,25.0,,,22.0,,,2.0,,,17.0,,,24.0,,,43.0
Karl-Martin RAMMO,26,EST,,28.0,,,25.0,,,,11.0,,,14.0,,17.0,,,6.0,,,1.0,,,14.0,,,15.0,,,3.0,,,2.0,,,9.0,
Martin ARUJA,102,EST,,39.0,,,40.0,,35.0,,,37.0,,,,37.0,,,36.0,,,,27.0,,,31.0,,,20.0,,,30.0,,,15.0,,,17.0
Kaarle TAPPER,33,FIN,,,13.0,,,3.0,17.0,,,15.0,,,,,7.0,,,5.0,20.0,,,9.0,,,32.0,,,29.0,,,36.0,,,32.0,,
Fredrik WESTMAN,91,FIN,33.0,,,36.0,,,,22.0,,,28.0,,,,35.0,,,31.0,,,13.0,,,16.0,,,7.0,,,12.0,,,23.0,,,13.0
Pietari AIRAKORPI,124,FIN,,41.0,,,33.0,,,,40.0,,,40.0,,,40.0,,,38.0,,,33.0,,,36.0,,,37.0,,,32.0,,,35.0,,,33.0
