Name,SailNum,Cty,FinishPlace,Points
Samuel KING,100,AUS,2,1
Kazumasa SEGAWA,57,JPN,3,2
Leo BOUCHER,86,USA,4,3
Arthit Mikhail ROMANYK,99,THA,5,4
Matti MURU,69,CAN,6,5
Georg Philip BUNK LAURITSEN,95,DEN,7,6
Luke RUITENBERG,47,CAN,8,7
Stijn PAARDEKOOPER,94,NED,9,8
Giacomo MUSONE,72,ITA,10,9
Jacob FARREN-PRICE,96,GBR,11,10
Yigit Yalcin CITAK,109,TUR,13,11
Justin NORTON,67,CAN,14,12
Fredrik WESTMAN,91,FIN,15,13
Mark WONG,97,SGP,16,14
Yuichiro KITAMURA,92,JPN,17,15
Thad LETTSOME,103,IVB,18,16
Martin ARUJA,102,EST,19,17
Andrew ROBINSON,126,AUS,20,18
Campbell PATTON,115,BER,21,19
Eroni LEILUA,116,SAM,22,20
Wilhelm KARK,52,SWE,23,21
William SARGENT,110,AUS,24,22
Gustavo CORREA NASCIMENTO,113,BRA,25,23
Upamanyu DUTTA,105,IND,26,24
Seung KIM,123,KOR,27,25
Ao HIGUCHI,107,JPN,28,26
Alexandre KOWALSKI,114,FRA,29,27
Liam BRUCE,65,CAN,30,28
Ken FUJIMOTO,118,JPN,31,29
James JUHASZ,84,CAN,32,30
Connor SHAW,120,AUS,33,31
Thomas MCEVOY,125,AUS,34,32
Pietari AIRAKORPI,124,FIN,35,33
Campbell STEWART,121,AUS,36,34
Teariki NUMA,119,PNG,37,35
Agustin VIDAL INCATASCIATO,51,ARG,-,43
Forrest WACHHOLZ,71,CAN,-,43
James STEWART,101,AUS,-,43
Stephen GUNTHER,122,AUS,-,43
Luke DEEGAN,98,NZL,1,43
Guillermo FLORES MARTIN,88,ESP,12,43
