Name,SailNum,Cty,FinishPlace,Points
Wannes VAN LAER,20,BEL,1,1
Michael BECKETT,19,GBR,2,2
Hermann TOMASGAARD,6,NOR,3,3
Philipp BUHL,15,GER,5,4
Juan MAEGLI,24,GUA,6,5
Matt WEARN,1,AUS,7,6
Filip JURISIC,17,CRO,8,7
Pavlos KONTIDES,5,CYP,9,8
Mitchell KENNEDY,37,AUS,12,9
Luke ELLIOTT,28,AUS,13,10
Tonci STIPANOVIC,11,CRO,14,11
Charlie BUCKINGHAM,10,USA,15,12
Jeemin HA,48,KOR,17,13
Alessio SPADONI,104,ITA,18,14
Enrique ARATHOON,30,ESA,19,15
Duko BOS,43,NED,20,16
Maxim NIKOLAEV,55,RUS,21,17
Christopher BARNARD,29,USA,22,18
Elliot HANSON,9,GBR,23,19
Benjamin VADNAI,31,HUN,24,20
Jean Baptiste BERNAZ,4,FRA,25,21
Eliot MERCERON,35,SUI,26,22
Finn ALEXANDER,36,AUS,27,23
Jesper STALHEIM,7,SWE,28,24
Robert DAVIS,27,CAN,29,25
Sam MEECH,3,NZL,30,26
Giovanni COCCOLUTO,13,ITA,31,27
Ryan LO,39,SGP,32,28
Sergei KOMISSAROV,22,RUS,33,29
Stefano PESCHIERA,8,PER,34,30
Nick THOMPSON,21,GBR,35,31
Kaarle TAPPER,33,FIN,36,32
Lorenzo Brando CHIAVARINI,16,GBR,37,33
George GAUTREY,25,NZL,38,34
Gianmarco PLANCHESTAINER,41,ITA,39,35
Jonatan VADNAI,23,HUN,40,36
Tadeusz KUBIAK,38,POL,41,37
Robert SCHEIDT,63,BRA,-,43
Thomas SAUNDERS,12,NZL,4,43
Rutger VAN SCHAARDENBURG,112,NED,10,43
Tom BURTON,2,AUS,11,43
Finn LYNCH,14,IRL,16,43
