Name,SailNum,Cty,FinishPlace,Points
Philipp BUHL,15,GER,1,1
Matt WEARN,1,AUS,2,2
Rutger VAN SCHAARDENBURG,112,NED,3,3
Finn LYNCH,14,IRL,4,4
Enrique ARATHOON,30,ESA,6,5
Wannes VAN LAER,20,BEL,7,6
Benjamin VADNAI,31,HUN,8,7
Maxim NIKOLAEV,55,RUS,9,8
Mitchell KENNEDY,37,AUS,10,9
Robert SCHEIDT,63,BRA,11,10
Hermann TOMASGAARD,6,NOR,12,11
William DE SMET,34,BEL,13,12
Pavlos KONTIDES,5,CYP,14,13
Karl-Martin RAMMO,26,EST,15,14
Jonatan VADNAI,23,HUN,16,15
Daniil KRUTSKIKH,56,RUS,17,16
Kazumasa SEGAWA,57,JPN,18,17
Christopher BARNARD,29,USA,19,18
James STEWART,101,AUS,20,19
Juan Pablo CARDOZO,108,ARG,21,20
Zac LITTLEWOOD,111,AUS,22,21
Nicolo VILLA,53,ITA,23,22
Dan SELF,81,AUS,24,23
Luke DEEGAN,98,NZL,25,24
Tomas PELLEJERO,80,ARG,26,25
Khairulnizam MOHD AFENDY,50,MAS,27,26
Christian GULDBERG ROST,59,DEN,28,27
Arthit Mikhail ROMANYK,99,THA,29,28
Sam WHALEY,66,GBR,30,29
Upamanyu DUTTA,105,IND,31,30
Marnix BOS,87,NED,32,31
Stijn PAARDEKOOPER,94,NED,33,32
Georg Philip BUNK LAURITSEN,95,DEN,34,33
Jacob FARREN-PRICE,96,GBR,35,34
Eroni LEILUA,116,SAM,36,35
Guillermo FLORES MARTÍN,88,ESP,37,36
Liam BRUCE,65,CAN,38,37
Alexandre KOWALSKI,114,FRA,39,38
Ken FUJIMOTO,118,JPN,40,39
Pietari AIRAKORPI,124,FIN,41,40
Thomas MCEVOY,125,AUS,42,41
Alexandre BOITE,70,FRA,5,43
