Name,SailNum,Cty,FinishPlace,Points
Milivoj DUKIC,75,MNE,1,1
Francisco GUARAGNA RIGONAT,18,ARG,2,2
Francisco RENNA,79,ARG,3,3
Santiago SAMPAIO,68,POR,4,4
Jakub RODZIEWICZ,49,POL,5,5
Emil BENGTSON,64,SWE,6,6
Sam WHALEY,66,GBR,7,7
William DE SMET,34,BEL,8,8
Nik Aaron WILLIM,32,GER,9,9
Julio ALSOGARAY,89,ARG,10,10
Clemente SEGUEL LACAMARA,60,CHI,11,11
Liam GLYNN,73,IRL,12,12
Khairulnizam MOHD AFENDY,50,MAS,13,13
Karl-Martin RAMMO,26,EST,14,14
Kenji NANRI,54,JPN,15,15
Hugh MACRAE,44,CAN,16,16
Ethan MCAULLAY,106,AUS,17,17
Marco GALLO,40,ITA,18,18
Nicolas ROLAZ,83,SUI,19,19
Zac LITTLEWOOD,111,AUS,20,20
Ewan MCMAHON,61,IRL,21,21
Alp Rona RODOPMAN,45,TUR,22,22
Anastasios PANAGIOTIDIS,93,GRE,23,23
Yoshihiro SUZUKI,82,JPN,24,24
Nicholas BEZY,85,HKG,25,25
Tomas PELLEJERO,80,ARG,26,26
Alexandre BOITE,70,FRA,27,27
Maxime MAZARD,42,FRA,28,28
Juan BISIO,58,ARG,29,29
Marnix BOS,87,NED,30,30
Juan Pablo CARDOZO,108,ARG,31,31
Christian GULDBERG ROST,59,DEN,32,32
Nicolo VILLA,53,ITA,33,33
Daniil KRUTSKIKH,56,RUS,34,34
Berkay ABAY,78,TUR,35,35
Fillah KARIM,46,CAN,36,36
Josh ARMIT,77,NZL,37,37
Etienne LE PEN,62,FRA,38,38
Dan SELF,81,AUS,39,39
Richard MAHER,76,AUS,40,40
Keerati BUALONG,90,THA,-,43
