,Rank,Nat,SailNo,HelmName,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,Nett
0,1st,,210459,Scott Rasmussen,1.0,2.0,3.0,4.0,3.0,1.0,1.0,(7.0),7.0,29.0,22.0
1,2nd,,200199,Hugh Macrae,8.0,8.0,1.0,5.0,1.0,(47.0 BFD),4.0,1.0,3.0,78.0,31.0
2,3rd,,206118,justin Norton,(13.0),10.0,6.0,1.0,2.0,3.0,6.0,2.0,2.0,45.0,32.0
3,4th,,209071,Henry Marshall,6.0,12.0,11.0,(47.0 UFD),4.0,6.0,3.0,4.0,1.0,94.0,47.0
4,5th,,209616,Forrest Wachholz,4.0,6.0,(14.0),9.0,9.0,7.0,7.0,8.0,6.0,70.0,56.0
5,6th,,210653,Brendan Aulthouse,(18.0),3.0,7.0,11.0,8.0,4.0,2.0,11.0,12.0,76.0,58.0
6,7th,,206719,Noah Collinson,7.0,19.0,4.0,2.0,7.0,9.0,11.0,3.0,(47.0 BFD),109.0,62.0
7,8th,,199544,Paul Didham,5.0,(26.0),2.0,8.0,5.0,16.0,8.0,6.0,15.0,91.0,65.0
8,9th,,209376,Luke Ruitenberg,(25.0),21.0,16.0,3.0,6.0,2.0,10.0,5.0,4.0,92.0,67.0
9,10th,,210460,Gage Wilson,14.0,1.0,18.0,13.0,(23.0),12.0,15.0,10.0,9.0,115.0,92.0
10,11th,,208550,Matti Muru,3.0,7.0,(25.0),6.0,13.0,22.0,14.0,13.0,14.0,117.0,92.0
11,12th,,209289,Peter Hurley,2.0,29.0,8.0,12.0,11.0,(47.0 BFD),27.0,9.0,13.0,158.0,111.0
12,13th,,196821,Andy Roy,9.0,(25.0),17.0,10.0,18.0,14.0,17.0,16.0,11.0,137.0,112.0
13,14th,,209383,Caleb Robinson,11.0,24.0,5.0,15.0,14.0,10.0,13.0,(47.0 BFD),22.0,161.0,114.0
14,15th,,209346,Kevin wiersma,16.0,4.0,36.0,7.0,12.0,11.0,25.0,(47.0 BFD),5.0,163.0,116.0
15,16th,,166906,Ray Davies,10.0,(34.0),20.0,23.0,16.0,18.0,9.0,12.0,9.0,151.0,117.0
16,17th,,210644,James Juhasz,26.0,(32.0),26.0,17.0,10.0,8.0,12.0,15.0,9.0,155.0,123.0
17,18th,,188655,Juan Ignacio Perez Soltero,12.0,15.0,13.0,(25.0),17.0,13.0,18.0,19.0,16.0,148.0,123.0
18,19th,,209075,Gord Welsh,22.0,5.0,(28.0),20.0,15.0,17.0,23.0,14.0,18.0,162.0,134.0
19,20th,,210643,Carson Shields,31.0,23.0,(47.0 UFD),14.0,25.0,5.0,16.0,18.0,17.0,196.0,149.0
20,21st,,195876,Jack Marshall,23.0,(30.0),15.0,26.0,20.0,19.0,5.0,25.0,19.0,182.0,152.0
21,22nd,,200859,Caleb Yoslov,19.0,9.0,27.0,16.0,21.0,23.0,(31.0),24.0,21.0,191.0,160.0
22,23rd,,185509,David Grace,21.0,22.0,10.0,27.0,24.0,20.0,(35.0),17.0,20.0,196.0,161.0
23,24th,,204462,Pat Wachholz,15.0,(47.0 OCS),23.0,21.0,19.0,15.0,22.0,32.0,26.0,220.0,173.0
24,25th,,199978,Chris van Rossem,28.0,18.0,(30.0),22.0,26.0,25.0,21.0,23.0,24.0,217.0,187.0
25,26th,,209618,Franco Fitzgerald,17.0,13.0,24.0,(36.0),30.0,24.0,26.0,34.0,28.0,232.0,196.0
26,27th,,210331,Hendrik Reidel,(35.0),20.0,12.0,19.0,27.0,28.0,34.0,28.0,30.0,233.0,198.0
27,28th,,182764,Nicholas Burroughs,27.0,11.0,29.0,(35.0),28.0,34.0,20.0,27.0,25.0,236.0,201.0
28,29th,,208838,Mike matan,20.0,(33.0),33.0,24.0,22.0,21.0,30.0,29.0,23.0,235.0,202.0
29,30th,,210667,Darius Mienville,(41.0),37.0,22.0,28.0,29.0,29.0,28.0,26.0,29.0,269.0,228.0
30,31st,,200182,Bradley Sheppard,36.0,14.0,19.0,30.0,33.0,31.0,(38.0),33.0,33.0,267.0,229.0
31,32nd,,204809,leo shebib,32.0,16.0,21.0,37.0,37.0,32.0,43.0,(47.0 DNC),31.0,296.0,249.0
32,33rd,,206120,Carter Ward,29.0,35.0,35.0,31.0,32.0,30.0,(37.0),30.0,27.0,286.0,249.0
33,34th,,160107,Scott Gittens,33.0,27.0,(47.0 UFD),34.0,35.0,33.0,29.0,31.0,32.0,301.0,254.0
34,35th,,196100,Andrew Kanarek,34.0,31.0,(47.0 UFD),29.0,36.0,27.0,33.0,22.0,47.0 DNC,306.0,259.0
35,36th,,206718,Scott Collinson,24.0,(47.0 DNC),9.0,33.0,34.0,47.0 DNC,32.0,35.0,47.0 DNC,308.0,261.0
36,37th,,160929,Philippe Dormoy,30.0,36.0,38.0,32.0,31.0,26.0,24.0,(47.0 DNC),47.0 DNC,311.0,264.0
37,38th,,204465,MatthÇÏus Grenke,37.0,17.0,32.0,38.0,(42.0),36.0,40.0,38.0,35.0,315.0,273.0
38,39th,,208878,Gordie Anderson,38.0,41.0,(47.0 DNC),18.0,47.0 DNC,47.0 DNC,36.0,20.0,47.0 DNC,341.0,294.0
39,40th,,201240,Denys Deschambeault,44.0,42.0,40.0,45.0,39.0,(47.0 BFD),19.0,36.0,34.0,346.0,299.0
40,41st,,198057,Kyle Sudds,(46.0),43.0,39.0,42.0,38.0,35.0,39.0,37.0,36.0,355.0,309.0
41,42nd,,200198,Rowan Warner,39.0,38.0,31.0,44.0,40.0,37.0,42.0,39.0,(47.0 BFD),357.0,310.0
42,43rd,,200109,Ian Craig,42.0,40.0,34.0,39.0,(43.0),39.0,41.0,40.0,37.0,355.0,312.0
43,44th,,210646,Michael Thomas,40.0,28.0,(47.0 UFD),43.0,47.0 RET,47.0 DNC,47.0 DNC,21.0,47.0 DNC,367.0,320.0
44,45th,,196060,Nicholas Graham,43.0,39.0,(47.0 UFD),41.0,41.0,38.0,44.0,47.0 DNC,38.0,378.0,331.0
45,46th,,173996,Bill McKenzie,45.0,44.0,37.0,40.0,(47.0 DNC),47.0 DNC,47.0 DNC,47.0 DNC,47.0 DNC,401.0,354.0
