Numeral,Name,Net,Total,R1,R2,R3,R4,R5,R6,,,,,,(22 DNC),22
202045,FELIPE DE SANTA RITTA E RONDINA,12,16,-4,1,2,4,2,3,16,TRUE,,#NAME?,,,
209248,TIAGO QUEVEDO,15,24,1,-9,5,3,1,5,24,TRUE,,,,,
191398,ANDREY oLIvEIRA GODOY,15,23,2,2,4,-8,5,2,23,TRUE,,,,22,
209253,PhlLlPP GROCHTMANN,20,30,3,5,-8,1,3,(10),30,TRUE,,,,,
191340,JOAO PEDRO SOUTO DE OLIVEIRA,24,40,5,-16,3,2,10,4,40,TRUE,,,,,
3,GERALD HAMILTON WICKS,25,35,8,(10),1,5,4,7,35,TRUE,,,,,
195367,BRUNO RODRIGUES MARTINS LOSSIO,30,40,6,8,9,-10,6,1,40,TRUE,,,,,
204598,GUSTAVO CORREA NASCIMENTO,33,42,7,6,7,7,-9,6,42,TRUE,,,,,
211508,GUILHERME RIBEIRO PEREZ,35,49,11,3,6,14,7,8,49,TRUE,,,,,
191346,JOHANN FENsELAu DE FELIPPES,44,66,9,7,10,9,(22 DNC),9,#VALUE!,#VALUE!,,,,,
189232,FRANCISCO VECCHIETTI RUSCHEL,56,73,12,-17,11,11,8,14,73,TRUE,,,,,
2,RAFAEL RIZZATO,64,79,13,14,13,13,11,(15),79,TRUE,,,,,
208253,FELIPE LEAL MANFRO,69,91,14,15,14,(22 UFD),15,11,#VALUE!,,,,,,
209250,LEONARDO POOL,71,87,-16,12,15,15,16,13,,,,,,,
202036,IAN MCKEE,72,94,(22 DNC),4,12,12,(22 DNC),(22 DNC),,,,,,,
160189,FELIPE NOBREGA MARQUES,75,97,(22 DNC),13,22 DNC,6,12,22 DNC,,,,,,,
7780,GUILHERME MULLER POLETO,76,94,15,-18,16,16,13,16,,,,,,,
202038,FELIPE PEREIRA MEIRA,84,110,10,(22 DNC),22 DNC,22 DNC,22 DNC,12,,,,,,,
175474,AILOISIO S. FERREIRA,97,119,(22 DNC),22 DNC,22 DNC,22 DNC,14,17,,,,,,,
191356,FERNANDO BOANI PAULUCCI,99,121,(22 DNC),11,22 DNC,22 DNC,22 DNC,22 DNC,,,,,,,
202044,FABIO PEREIRA SIMONI DA SILVA,110,132,(22 DNC),22 DNC,22 DNC,22 UFD,22 DNC,22 DNC,,,,,,,
