Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,T,N,R1,R2,R3,R4,R5,R6,R7,R8,R9
1,9,GBR 209134  E. HANSON,Elliot HANSON  Elliot HANSON,GBR,95,44,2,1,4,5,9,2,9,(51.0)  DSQ,12
2,6,USA 182345  C. BUCKINGHAM,Charlie BUCKINGHAM  West Coast University  Charlie BUCKINGHAM  West Coast University,USA,86,50,4,5,1,4,15,10,(36.0),1,10
3,5,AUS 199015  M. WEARN,Matthew WEARN  Australian Sailing Team  Matthew WEARN  Australian Sailing Team,AUS  RPYC/FSC,109,58,4,4,3,1,25,(51.0)  BFD,12,7,2
4,99,AUS 209261  M. KENNEDY,Mitchell KENNEDY  Kenno Magic  Mitchell KENNEDY  Kenno Magic,AUS,94,63,13,3,2,6,2,11,6,(31.0),20
5,11,CRO 212013  T. STIPANOVIC,Tonči STIPANOVIC  Sailing club Mornar  Tonci STIPANOVIC  Sailing club Mornar,CRO,120,69,3,2,(51.0)  UFD,3,4,3,10,40,4
6,83,CRO 207268  F. JURISIC,Filip JURISIC  Filip JURISIC,CRO,120,69,8,10,6,(51.0)  BFD,3,4,7,25,6
7,10,FRA 209021  J.B. BERNAZ,Jean Baptiste BERNAZ  Jean Baptiste BERNAZ,FRA,111,69,3,2,9,2,19,15,11,(42.0),8
8,98,AUS 211498  F. ALEXANDER,Finn ALEXANDER  Kenny Constructions  Finn ALEXANDER  Kenny Constructions,AUS,101,69,6,6,2,9,(32.0),14,13,5,14
9,7,CYP 212431  P. KONTIDES,"PAVLOS KONTIDES  OPAP CYPRUS,LEVENTIS FOUNDATION  Pavlos KONTIDES  OPAP CYPRUS,LEVENTIS FOUNDATION",CYP,123,72,1,1,33,3,10,1,5,(51.0)  DSQ,18
10,97,IRL 210254  F. LYNCH,finn LYNCH  Finn Lynch  Finn LYNCH  Finn Lynch,IRL,107,76,5,6,18,7,12,(31.0),1,11,16
11,32,NZL 202266  T. SAUNDERS,Thomas SAUNDERS  -  Thomas SAUNDERS  -,NZL,128,77,(51.0)  DNC,3,7,2,1,5,22,26,11
12,95,HUN 212044  B. VADNAI,Benjamin VADNAI  Benjamin VADNAI,HUN  BYC,129,84,14,5,11,12,7,(45.0),4,17,14
13,100,AUS 197284  J. O'CONNELL,Jeremy O'CONNELL  -  Jeremy O'CONNELL  -,AUS,124,86,14,9,4,4,(38.0),20,20,8,7
14,35,NZL 210817  A. McKENZIE,Andrew MCKENZIE  Andrew McKENZIE,NZL,130,93,7,11,1,14,20,7,8,(37.0),25
15,92,AUS 210464  L. ELLIOTT,Luke ELLIOTT  Swifto  Luke ELLIOTT  Swifto,AUS,136,95,2,4,6,1,13,(41.0),34,34,1
16,77,RUS 202692  S. KOMISSAROV,Sergey KOMISSAROV  Sergey KOMISSAROV,"RUS  GBU MO COVS, SA ST.-P, CSKA",144,99,6,8,14,9,(45.0),30,26,3,3
17,109,TUR 207480  A. RODOPMAN,Alp RONA  Alp RODOPMAN,TUR  FB DOGUS YELKEN,134,107,7,19,20,11,8,13,(27.0),10,19
18,23,NED 212644  N. BROEKHUIZEN,Niels BROEKHUIZEN  Gorilla  Niels BROEKHUIZEN  Gorilla,NED,136,111,(25.0),24,19,8,6,12,18,16,8
19,45,JPN 208000  K. SEGAWA,Kazumasa SEGAWA  Kazumasa SEGAWA,JPN,159,126,18,13,7,17,31,(33.0),3,21,16
20,96,HUN 209452  J. VADNAI,Jonatan VADNAI  Jonatan VADNAI,HUN  BYC,167,128,12,7,37,16,23,22,2,(39.0),9
21,102,BEL 210471  S. VANDORMAEL,Sam VANDORMAEL  Sam VANDORMAEL,BEL  VVWGVVW Galgenweel,179,128,1,20,30,14,16,21,(51.0)  DSQ,14,12
22,24,NED 212650  D. BOS,Duko BOS  Esmé de glijmaschine  Duko BOS  Esmé de glijmaschine,NED  R.Z.V.,182,131,10,(51.0)  UFD,12,7,33,6,41,18,4
