,,,EUROPEAN LASER MASTERS CHAMPIONSHIP 2019,,,,,,,,,,,,
,,,,Grup Esports Nàutics de Roses,,,,,,,,,,,
,,,,From 06/14/2019 to 06/20/2019,,,,,,,,,,,
,,,,,,,,,,,,Entries: 66,,,
Overall Results,,,,,,,,,,,,,,Discards applied: 1,
Class: Laser Standard Green,,,,,,,,,RACE,,,,,POINTS,
Pos,Sail #,Bow,Crew / Club,Cat,1,2,3,4,5,6,7,8,9,TOTAL,NET
1,ESP 207711,89,"MARTINEZ, Carlos",GM-EU,2,(5),1,2,2,4,3,2,4,25,20
,,,,,,,,,,,,,BFD,,
2,ESP 210114,86,"DORESTE BLANCO, Jose Luis",GM-EU,6,4,5,8,11,1,1,11,,114,47
,,,,,,,,,,,,,(67),,
3,DOM 187994,115,"BARSHI, Ari",GM-ROW,5,2,4,12,(27),5,5,3,15,78,51
4,ITA 191144,45,"CARNEVALI, Stefano",GM-EU,8,17,(18),9,5,6,4,12,8,87,69
5,GBR 195867,37,"LAW, Tim",GM-EU,4,11,3,17,(32),15,8,10,14,114,82
6,ESP 214065,94,"VAN DER PLOEG, Jose Maria",GM-EU,12,(31),10,19,13,11,14,4,3,117,86
7,USA 215009,119,"VESSELLA, Peter",GM-ROW,3,14,8,5,(35),8,9,26,16,124,89
8,GBR 213699,32,"DAVIS, Alan",GM-EU,17,7,21,25,(30),3,11,5,1,120,90
9,GER 173330,24,"MUELLER, Thomas W.",GM-EU,23,3,(45),24,26,2,6,1,6,136,91
10,GER 213323,19,"GERZ, Wolfgang",GGM-EU,10,20,11,(23),7,12,17,13,2,115,92
11,USA 208838,118,"MATAN, Michael",GM-ROW,26,13,29,(37),10,7,2,8,5,137,100
,,,,,,,,,,,,UFD,,,
12,CAN 210677,114,"ROY, Andrew",GM-ROW,1,6,12,43,6,13,7,,13,168,101
,,,,,,,,,,,,(67),,,
13,NED 211967,63,"DUETZ, Wouter",GM-EU,9,19,6,(36),9,16,24,9,9,137,101
14,FRA 214952,18,"VOGTENSPERGER, Jean-Pierre",GM-EU,7,8,13,4,(39),22,19,21,12,145,106
15,AUS 214456,109,"GUNTHER, Steve",GM-ROW,19,1,15,(41),22,17,12,14,7,148,107
,,,,,,,,,,,,,BFD,,
16,FRA 215484,16,"SIMEONI, Denis",GM-EU,18,10,14,13,19,14,26,7,,188,121
,,,,,,,,,,,,,(67),,
17,ESP 211292,91,"NOGUER, Miguel",GM-EU,(25),15,25,1,3,20,21,20,18,148,123
18,FRA 199146,12,"MEESEMAECKER, Benoit",GM-EU,16,32,2,(38),33,9,16,6,10,162,124
19,NED 206988,75,"WOLTERS, Rik",GM-EU,20,27,16,3,1,(30),28,19,22,166,136
20,GER 192653,25,"NISSEN, Michael",GGM-EU,24,12,17,22,4,27,13,24,(29),172,143
21,ESP 209953,92,"ROIG, Antoni",GM-EU,11,28,(34),26,16,34,10,17,20,196,162
22,AUS 207357,110,"LOOSEMORE, Jeff",GGM-RO,29,16,22,16,12,(31),20,29,27,202,171
,,,,Sailti Scoring Soft,,,,,,,,,,Page 1/3,
,,,,,,,,,,,06/20/2019 - 19:09:28,,,,
23,ITA 212481,47,"CAVALLI, Giuseppe",GM-EU,34,21,9,(40),18,19,23,27,24,215,175
24,SWE 213039,105,"WALLIN, Michael",GM-EU,(40),25,26,31,21,10,31,25,21,230,190
25,NED 216031,70,"SIERHUIS, Cesar",GM-EU,28,23,27,(46),34,29,34,15,17,253,207
,,,,,,,,UFD,,,,,,,
26,GBR 215979,36,"HICKS, Michael",GGM-EU,21,22,31,,15,32,41,16,34,279,212
,,,,,,,,(67),,,,,,,
27,AUS 211505,108,"GARATY, Paul",GM-ROW,32,9,44,20,24,21,(48),23,41,262,214
28,CAN 160929,113,"DORMOY, Philippe",GM-ROW,39,30,35,15,8,36,(51),33,26,273,222
29,GBR 206716,41,"SHERWIN, Peter",GGM-EU,44,26,47,21,17,25,32,(52),31,295,243
,,,,,,,,,UFD,,,,,,
30,ITA 214141,43,"BINI, Roberto",GM-EU,15,33,32,32,,49,15,32,40,315,248
,,,,,,,,,(67),,,,,,
31,ITA 208369,48,"CIANO, Massimo",GM-EU,(58),29,33,39,25,44,37,22,19,306,248
32,NED 197519,62,"DE RIJK, Jack",GM-EU,14,18,28,49,(53),24,43,28,49,306,253
,,,,,,,,UFD,,,,,,,
