,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
0,1.0,,ITA 211979  F. MARRAI,Francesco MARRAI  Francesco MARRAI,ITA  sez vela GdF,,,,,46.0,34.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,4.0,2.0,3.0,6.0,(12.0),4.0,8.0,2.0  4.0  1.0  4.0  2.0  3.0  6.0  (12.0)  4.0  8.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,,EST 203724  K.M. RAMMO,Karl-Martin RAMMO  Karl-Martin RAMMO,EST  ROPK/TJKROPK/TJK,,,,,42.0,34.0,,,,,,,,,,,,,,,,,,,,,(8.0),2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,16.0,(8.0)  2.0  1.0  1.0  1.0  4.0  3.0  3.0  3.0  16.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,,GBR 211406  J. WETHERELL,Jack WETHERELL  BRITISH SAILING TEAM  Jack WETHERELL  BRITISH SAILING TEAM,GBR  Beaver Sailing Club,,,,,49.0,39.0,,,,,,,,,,,,,,,,,,,,,4.0,(10.0),4.0,3.0,3.0,4.0,9.0,9.0,1.0,2.0,4.0  (10.0)  4.0  3.0  3.0  4.0  9.0  9.0  1.0  2.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.0,,NOR 201111  H. TOMASGAARD,Hermann TOMASGAARD  Hermann TOMASGAARD,NOR  KNSKNS,,,,,50.0,39.0,,,,,,,,,,,,,,,,,,,,,1.0,(11.0),3.0,2.0,4.0,2.0,5.0,6.0,2.0,14.0,1.0  (11.0)  3.0  2.0  4.0  2.0  5.0  6.0  2.0  14.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,,RUS 202692  S. KOMISSAROV,Sergei KOMISSAROV  Sergei KOMISSAROV,"RUS  GBU MO COVS, SA St.-P, VS",,,,,55.0,42.0,,,,,,,,,,,,,,,,,,,,,2.0,7.0,3.0,3.0,3.0,1.0,12.0,(13.0),7.0,4.0,2.0  7.0  3.0  3.0  3.0  1.0  12.0  (13.0)  7.0  4.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6.0,,GER 209801  P. BUHL,Philipp BUHL  Philipp BUHL,GER  SCAISegelclub Alpsee Immenstadt e. V.,,,,,61.0,42.0,,,,,,,,,,,,,,,,,,,,,3.0,(19.0),2.0,1.0,1.0,1.0,1.0,4.0,9.0,20.0,3.0  (19.0)  2.0  1.0  1.0  1.0  1.0  4.0  9.0  20.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7.0,,RUS 207809  M. NIKOLAEV,Maxim NIKOLAEV  Maxim NIKOLAEV,RUS  CSP Khlebnikovo,,,,,67.0,51.0,,,,,,,,,,,,,,,,,,,,,2.0,10.0,1.0,5.0,4.0,3.0,10.0,10.0,(16.0),6.0,2.0  10.0  1.0  5.0  4.0  3.0  10.0  10.0  (16.0)  6.0,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.0,,ESA 180192  E. ARATHOON,Enrique ARATHOON  ECO PLANET  Enrique ARATHOON  ECO PLANET,ESA  Ecoplanet,,,,,101.0,56.0,,,,,,,,,,,,,,,,,,,,,1.0,8.0,2.0,1.0,1.0,2.0,22.0,7.0,(45.0)  BFD,12.0,1.0  8.0  2.0  1.0  1.0  2.0  22.0  7.0  (45.0)  BFD  12.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.0,,POL 210788  F. CISZKIEWICZ,Filip CISZKIEWICZ  LASER  Filip CISZKIEWICZ  LASER,POL  MKZ ARKA GDYNIA,,,,,105.0,65.0,,,,,,,,,,,,,,,,,,,,,6.0,9.0,5.0,2.0,5.0,15.0,2.0,(40.0),11.0,10.0,6.0  9.0  5.0  2.0  5.0  15.0  2.0  (40.0)  11.0  10.0,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
