,Pl,Sail#,Skipper,Nat,Unnamed: 4,Club,Class,Fleet,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total
0,1,199544,Paul Didham,USA,,MBYC/RRT,Laser,,1,1,1,1,1,2,(3.0),1,2,10
1,2,200362,Juan Luis Medina Cortes,MEX,,ChYC,Laser,,10,2,5,2,6,7,(11.0),3,3,38
2,3,208381,Cameron Feves,USA,,CBYC,Laser,Junior,5,9,4,4,(13.0),3,5,8,1,39
3,4,208064,Ian Elliott,CAN,,RVicYC/CBSC,Laser,,4,5,6,6,5,5,4,(12.0),4,39
4,5,209289,Peter Hurley,USA,,ManYC,Laser,,3,6,2,3,9,10,2,9 ZFP,(33 UFD),44
5,6,203055,Upamanyu Dutta,IND,,RBYC,Laser,,2,7,7,8,2,4,(12.0),6,8,44
6,7,187770,Leopoldo Seifert,MEX,,ChYC,Laser,,8,3,(15.0),5,4,13,10,4,5,52
7,8,194070,Skylar Bayman,USA,,CalMar,Laser,,18,16,10,7,3,1,1,7,(33 UFD),63
8,9,210695,John Owen,CAN,,RVicYC,Laser,,9,4,3,10,10,16,7,9,(33 UFD),68
9,10,189772,Rob Hallawell,USA,,YCYC,Laser,,7,11,12,18 ZFP,7,6,6,5,(33 UFD),72
10,11,200589,Caleb Yoslov,USA,,SFYC,Laser,Junior,11,12,9,13,14,11,8,(19.0),6,84
11,12,167136,Emilio Castelli,USA,,RYC,Laser,,6,8,8,14,(16.0),12,14,14,10,86
12,13,206556,Michael Levy,USA,,SCYC/RRT,Laser,,14,10,13,9,11,8,(24.0),11,12,88
13,14,204231,Dave Leuck,USA,,MBYC,Laser,,15,(17.0),16,12,12,9,9,10,7,90
14,15,210331,Hendrik Reidel,USA,,TYC/St.FYC,Laser,,12,13,11,16,8,21,(30.0),25,16,122
15,16,206586,Drea Keswater,USA,,ABYC/KHYC,Laser,Junior,23,21,(29.0),15,15,15,21,13,14,137
16,17,207254,Max Karmel,USA,,MBYC,Laser,Junior,20,18,(27.0),17,21,17,15,24,9,141
17,18,184386,James Ozaki,USA,,MBYC,Laser,Junior,19,(26.0),17,21,17,18,25,20,11,148
18,19,171158,Jay Leon,USA,,SYC,Laser,,22,(23.0),23,20,19,20,23,15,18,160
19,20,180483,Ian Baldwin,USA,,CalMar,Laser,,21,(25.0),19,18,22,23,17,22,20,162
20,21,192882,Ryan Schulten,USA,,ABYC/LBYC,Laser,,13,20,21,25,25,(27.0),22,17,21,164
21,22,197989,Sumeet Patel,USA,,ABYC,Laser,,(28.0),22,26,19,27,22,13,26,15,170
22,23,198659,Jorge Suarez,USA,,ABYC,Laser,,(33 RET),19,14,26,18,24,18,27,24,170
23,24,176213,James Moran,USA,,MBYC,Laser,,25,(32.0),18,27,24,14,32,16,17,173
24,25,209290,Connor Weicht,CAN,,CgYC,Laser,Junior,27,(28.0),25,28,20,28,16,18,13,175
25,26,177637,John Staff,USA,,CYC,Laser,,24,(31.0),28,23,28,19,19,21,19,181
26,27,210667,Darius Mienville,USA,,LFYC,Laser,,16,14,20,30,30,25,(33 ZFP),29,25,189
27,28,198694,Sanjai Kohli,USA,,CYC,Laser,,17,27,(33 RET),22,26,26,26,30 ZFP,28,202
28,29,195943,David Anthes,USA,,ScutSC,Laser,,26,29,(30.0),24,23,29,20,28,27,206
29,30,156877,Paul Miachika,USA,,AYC,Laser,,29,15,24,(31.0),31,30,28,30,22,209
30,31,177286,Clay Karmel,USA,,MBYC,Laser,,30,30,22,29,29,(32.0),31,31,23,225
31,32,208763,Mark Stratton,USA,,DRYC,Laser,,31,24,(33 DNC),32,32,31,29,32,26,237
