,Pos,Nation,Sail Number,Crew,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Points,Points
,Pos,Nation,Sail Number,Crew,1,2,3,4,5,6,7,8,9,10,11,Total,Net
0,1,FRA,FRA 209021,Jean Baptiste Bernaz,1,4,1,3,12,6,4,(15),2,12,14.0,74.0,59.0
1,2,GER,GER 209801,Philipp Buhl,7,11,3,5,7,1,13,3,3,(16),8.0,77.0,61.0
2,3,USA,USA 182345,Charlie Buckingham,3,2,4,9,8,2,(20),7,8,7,12.0,82.0,62.0
3,4,ESP,ESP 211440,JoaquÃ­n Blanco,4,10,2,11,(26)DNF,8,3,2,10,10,4.0,90.0,64.0
4,5,GBR,GBR 211921,Nick Thompson,11,3,13,2,6,15,1,10,4,(26)UFD,2.0,93.0,67.0
5,6,CRO,CRO 211882,Tonci Stipanovic,10,15,5,6,3,10,6,6,(18),5,10.0,94.0,76.0
6,7,CYP,CYP 212431,Pavlos Kontides,9,14,11,1,1,7,(17),11,14,2,16.0,103.0,86.0
7,8,GBR,GBR 206940,Lorenzo Brando Chiavarini,13,19,19,(24),4,4,2,23,5,4,6.0,123.0,99.0
8,9,GBR,GBR 210139,Michael Beckett,2,6,8,10,18,5,12,13,6,(19),20.0,119.0,100.0
9,10,BEL,BEL 202020,Wannes Van Laer,15,5,6,7,14,9,5,17,(26)BFD,9,18.0,131.0,105.0
10,11,FRA,FRA 210211,Eliot Merceron,14,1,17,15,(23),11,16,8,1,13,,119.0,96.0
11,12,CRO,CRO 207268,Filip JuriÅ¡iÄ,12,18,7,4,9,13,19,(26)DNF,15,1,,124.0,98.0
12,13,ITA,ITA 188953,Giovanni Coccoluto,16,16,9,21,2,3,7,5,(26)BFD,21,,126.0,100.0
13,14,GBR,GBR 211406,Jack Wetherell,6,20,12,20,11,16,18,1,(22),15,,141.0,119.0
14,15,HUN,HUN 209452,Jonatan Vadnai,18,(22),14,14,21,19,11,14,7,3,,143.0,121.0
15,16,MNE,MNE 208707,Milivoj Dukic,21,12,10,12,17,17,10,12,(26)BFD,11,,148.0,122.0
16,17,ARG,ARG 211983,Juan Pablo Bisio,5,13,16,(22),19,20,8,16,12,14,,145.0,123.0
17,18,USA,USA 210780,Christopher Barnard,22,7,18,8,16,(23),9,18,19,8,,148.0,125.0
18,19,PER,PER 206115,Stefano Peschiera,8,(24),21,23,15,24,23,4,9,6,,157.0,133.0
19,20,ARG,ARG 209400,Tomas Pellejero,17,17,15,16,5,14,14,22,13,(26)UFD,,159.0,133.0
20,21,SLO,SLO 210025,Zan Luka Zelko,(25),9,22,17,13,12,25,20,11,20,,174.0,149.0
21,22,FRA,FRA 211954,Antony Munos,(24),8,23,19,20,22,15,24,17,22,,194.0,170.0
22,23,IRL,IRL 210254,Finn Lynch,19,21,(26)UFD,18,10,25,21,19,20,18,,197.0,171.0
23,24,BEL,BEL 207173,William De Smet,23,23,24,13,24,21,25STP,9,16,(26)UFD,,204.0,178.0
24,25,ARG,ARG 211571,Agustin Vidal Incatasciato,20,(25),20,25,22,18,22,21,21,17,,211.0,186.0
