Sail No.,Name,T,N,QR1,QR2,QR3,QR4,QR5,QR6,FR7,FR8,FR9,FR10,FR11,FR12
AUS 199012,Tom Burton,131,59,2,21,4,4,3,4,8,2,5,13,14,51
AUS 199015,Matthew Wearn,106,63,13,7,3,1,2,1,19,18,30,1,6,5
NZL 214437,George Gautrey,160,69,2,2,3,7,4,53 UFD,4,38,13,23,2,9
NZL 216175,Sam Meech,123,72,12,7,2,2,1,1,17,8,39,21,1,12
GBR 211921,Nick Thompson,113,73,17,4,9,9,2,5,23,7,7,22,4,4
FRA 213932,Jean-Baptiste Bernaz,107,78,3,2,7,2,1,7,22,22,2,11,8,20
GBR 209134,Elliot Hanson,145,92,5,13,5,4,1,1,24,40,29,4,9,10
GBR 216159,Brando Lorenzo Chiavarini,152,92,5,6,12,14,15,7,16,6,12,7,45,7
GER 215517,Philipp Buhl,159,96,6,10,2,5,7,3,7,14,31,10,53 BFD,11
NZL 215081,Thomas Saunders,149,96,21,5,10,7,3,4,15,11,18,6,32,17
USA 206051,Charlie Buckingham,158,105,15,18,6,6,2,4,35,15,3,2,18,34
BRA 207711,Robert Scheidt,181,122,27,3,4,3,5,2,14,30,15,25,21,32
SWE 215344,Jesper Stalheim,166,125,8,3,3,1,8,8,22 SCP,27,28,12,33,13
ARG 213387,Francisco Rigonat Guaragna,183,129,6,17,15,15,14,17,3,3,20,37,17,19
CRO 212013,Tonci Stipanovic,195,133,4,4,1,8,13,10,49,45,35,9,15,2
KOR 210793,Jeemin Ha,183,134,16,12,2,1,4,3,27,21,33,29,29,6
RUS 213011,Sergei Komissarov,198,138,14,1,8,3,9,9,1,46,41,33,30,3
CYP 212431,Pavlos Kontides,246,140,18,53 BFD,4,9,6,7,53 UFD,34,10,15,22,15
FIN 214111,Kaarle Tapper,204,141,5,20,1,16,15,10,36,9,4,3,42,43
HUN 213095,Benjamin Vadnai,212,145,9,2,10,8,23,13,11,44,19,14,20,39
GBR 210139,Michael Beckett,239,149,37,53 BFD,1,5,6,5,26,26,32,20,12,16
GUA 211981,Ignacio Juan Maegli,236,152,7,7,53 BFD,6,11,11,30,29,9,26,16,31
EST 203724,Karl-Martin Rammo,218,155,14,16,16,10,15,2,18,42,47,17,13,8
