,Pos,Nation,Sail Number,Crew,Race,Race,Race,Race,Race,Race,Race,Race,Race,Points,Points
,Pos,Nation,Sail Number,Crew,1,2,3,4,5,6,7,8,9,Total,Net
0,1,NZL,NZL 212007,Sam Meech,4,13,15,1,(51)BFD,1,1,3,8.0,97.0,46.0
1,2,CYP,CYP 212431,Pavlos Kontides,7,4,3,2,(51)DSQ,14,2,9,14.0,106.0,55.0
2,3,AUS,AUS 199012,Tom Burton,1,14,(32),3,18,23,5,2,2.0,100.0,68.0
3,4,GBR,GBR 211407,Lorenzo Brando Chiavarini,3,8,5,6,16,(20),16,11,12.0,97.0,77.0
4,5,GBR,GBR 211921,Nick Thompson,2,(42),23,22,13,4,7,4,6.0,123.0,81.0
5,6,GBR,GBR 210139,Michael Beckett,11,12STP,(25),20,11,2,3,15,16.0,115.0,90.0
6,7,AUS,AUS 199015,Matthew Wearn,12,20,(29),7,7,22,23,6,4.0,130.0,101.0
7,8,NZL,NZL 211585,Thomas Saunders,13,(39),2,30,20,12,9,14,10.0,149.0,110.0
8,9,NZL,NZL 210817,Andrew McKenzie,23,(32),16,4,1,6,30,23,18.0,153.0,121.0
9,10,ITA,ITA 211979,Francesco Marrai,5,6,11,23,10,(51)RET,6,51DSQ,20.0,183.0,132.0
10,11,AUS,AUS 164180,Mitchell Kennedy,45,12,12,8,(51)BFD,8,4,25,,165.0,114.0
11,12,CRO,CRO 207268,Filip Jurišić,(37),7,4,15,33,7,34,16,,153.0,116.0
12,13,ARG,ARG 211983,Juan Pablo Bisio,6,21,(44),36,30,3,11,10,,161.0,117.0
13,14,GER,GER 209801,Philipp Buhl,10,19,28,(31),6,11,22,21,,148.0,117.0
14,15,NED,NED 171900,Niels Broekhuizen,21,15,10,18,2,(34),28,24,,152.0,118.0
15,16,ESA,ESA 180192,Enrique Jose Arathoon Pacas,19,1,17,25,19,13,27,(31),,152.0,121.0
16,17,JPN,JPN 208000,Kazumasa Segawa,16,(49),1,37,15,28,18,19,,183.0,134.0
17,18,USA,USA 210780,Christopher Barnard,18,31,(50),17,5,21,36,8,,186.0,136.0
18,19,FIN,FIN 211411,Kaarle Tapper,31,(43),22,19,4,15,29,17,,180.0,137.0
19,20,HUN,HUN 213095,Benjamin Vadnai,14,2,9,9,41,33,31,(46),,185.0,139.0
20,21,BEL,BEL 202020,Wannes Van Laer,(51)RET,17,8,32,29,16,10,29,,192.0,141.0
21,22,GBR,GBR 211406,Jack Wetherell,33,23,(46),21,14,19,39,5,,200.0,154.0
22,23,TUR,TUR 207480,Alp Rona Rodopman,8,29,20,27,17,25,(47),28,,201.0,154.0
23,24,NED,NED 212650,Duko Bos,30,3,43,16,(51)BFD,18,20,26,,207.0,156.0
24,25,NOR,NOR 213925,Hermann Tomasgaard,9,34,42,45,(51)BFD,5,15,7,,208.0,157.0
25,26,BEL,BEL 207173,William De Smet,20,27,19,13,8,(39),38,34,,198.0,159.0
26,27,HUN,HUN 213119,Jonatan Vadnai,27,28,40,26,(51)BFD,26,14,1,,213.0,162.0
27,28,AUS,AUS 210464,Luke Elliott,15,44,(49),12,28,31,12,20,,211.0,162.0
28,29,CAN,CAN 208522,Robert Davis,41,24,39,(42),21,9,19,12,,207.0,165.0
29,30,AUS,AUS 211498,Finn Alexander,(36),9,24,33,32,27,21,22,,204.0,168.0
30,31,MAS,MAS 206032,Khairulnizam Mohd Afendy,22,18,33,5,26,30,35,(43),,212.0,169.0
31,32,ARG,ARG 209400,Tomas Pellejero,35,(46),6,24,3,43,26,33,,216.0,170.0
32,33,USA,USA 209071,Henry Marshall,24,22,13,29,37,37,8,(44),,214.0,170.0
33,34,ITA,ITA 210766,Nicolo Villa,28,26,26,38,22,24,13,(51)DSQ,,228.0,177.0
34,35,ESP,ESP 211440,Joaquín Blanco,25,(41),36,11,24,38,40,13,,228.0,187.0
35,36,ITA,ITA 210210,Marco Benini,(51)RET,48,21,28,12,36,25,18,,239.0,188.0
36,37,ARG,ARG 210795,Francisco Guaragna Rigonat,(47),30,27,34,9,29,24,38,,238.0,191.0
37,38,JPN,JPN 211049,Kenji Nanri,40,33,14,(41),39,17,17,35,,236.0,195.0
38,39,ESP,ESP 200266,Joel Rodriguez,42,25,7,10,23,47,(50),47,,251.0,201.0
39,40,ARG,ARG 211570,Agustin Vidal Incatasciato,(44),36,18,39,35,10,37,30,,249.0,205.0
40,41,AUS,AUS 211561,Jeremy O'Connell,29,40,45,14,(51)BFD,32,43,27,,281.0,230.0
41,42,CZE,CZE 212491,Viktor Teply,17,5,41,46,(51)BFD,45,42,37,,284.0,233.0
42,43,UKR,UKR 211271,Georgii Paches,34,16,(48),40,34,44,32,36,,284.0,236.0
43,44,USA,USA 211711,Erik Bowers,39,10,37,(51)RET,36,51UFD,33,39,,296.0,245.0
44,45,AUS,AUS 211543,Dan Self,32,37,30,49,27,40,44,(51)BFD,,310.0,259.0
45,46,LTU,LTU 210163,Karolis Janulionis,43,35,47,43,25,35,(49),40,,317.0,268.0
46,47,JPN,JPN 208222,Ao HIGUCHI,26,(50),31,47,42,41,41,41,,319.0,269.0
47,48,LTU,LTU 210951,Martis Pajarskas,38,38,38,35,38,(48),45,42,,322.0,274.0
48,49,JPN,JPN 211154,Yuichiro Kitamura,(48),45,34,44,40,42,48,32,,333.0,285.0
49,50,ESP,ESP 209164,Carlos Rosello,46,47,35,(48),31,46,46,45,,344.0,296.0
